Bank,CERT,City,Deposits_$K,Assets_$K,Offices
"Bank First, N.A.",5304,Manitowoc,5133172,6064567,45
North Shore Bank,28679,Brookfield,2163064,2590607,44
"WaterStone Bank, SSB",28513,Wauwatosa,1465485,2252598,16
Citizens Bank,13055,Mukwonago,992753,1173908,11
Peoples State Bank,12814,Prairie Du Chien,792043,973263,19
Bank of Prairie du Sac,14660,Prairie Du Sac,654407,755328,2
Ixonia Bank,12514,Ixonia,602665,959880,7
Northwestern Bank,2468,Chippewa Falls,577225,711952,7
Unity Bank,8714,Augusta,516775,587615,14
First State Bank,15271,New London,456425,553584,8
"PyraMax Bank, FSB",29120,Greenfield,402723,595181,6
First Citizens State Bank,11228,Whitewater,370088,511423,8
Spring Bank,58780,Brookfield,329337,441881,1
Waumandee State Bank,10384,Waumandee,303517,350631,8
West Pointe Bank,34162,Oshkosh,266044,374108,1
Collins State Bank,14914,Collins,254468,288247,6
Ergo Bank,10004,Markesan,221684,263059,6
Alliance Bank,12511,Mondovi,202592,254060,4
Farmers & Merchants State Bank,13242,Waterloo,183746,245569,3
Bank of Alma,26689,Alma,168499,339278,4
GreenLeaf Bank,12661,Greenleaf,131580,154344,2
Oakwood Bank,13030,Pigeon Falls,119470,151370,4
Richland County Bank,15092,Richland Center,95822,113602,1
Independence State Bank,10741,Independence,73564,85884,3
Northwestern Mutual Wealth Management,57093,Milwaukee,50500,521260,1
