Bank,CERT,City,Deposits_$K,Assets_$K,Offices
"Associated Bank, National Association",5296,Green Bay,35800709,45537550,218
Lake Ridge Bank,15091,Middleton,2764955,3334131,20
IncredibleBank,19772,Wausau,1775232,2058919,19
The Park Bank,19608,Madison,1247870,1527658,10
Security Financial Bank,14222,Durand,822715,1021358,8
Prevail Bank,29294,Medford,757718,1012360,9
Bank of Luxemburg,13264,Luxemburg,631259,724896,9
Bank of Sun Prairie,13565,Sun Prairie,587550,716609,8
Chippewa Valley Bank,12322,Hayward,556456,735498,13
Premier Community Bank,15799,Marion,495374,562240,10
Coulee Bank,18361,La Crosse,426700,524341,8
Woodford State Bank,10011,Monroe,393758,509650,6
FORTE BANK,5297,Hartford,346227,407402,4
Wolf River Community Bank,34240,Hortonville,307443,378146,4
The First National Bank of River Falls,5364,River Falls,287909,325888,3
State Bank of Newburg,9529,Newburg,259788,330893,2
Nekoosa Port Edwards State Bank,2482,Nekoosa,241762,283680,3
First Federal Bank of Wisconsin,30422,Waukesha,211664,278732,5
Community Bank of Cameron,12349,Cameron,193214,221020,3
"Paper City Savings Bank, S.A.",29676,Wisconsin Rapids,174001,212977,3
First Community Bank,11225,Milton,146145,162747,1
Bank of Cashton,12325,Cashton,126026,144667,1
Conservation First Bank,14316,Benton,101231,123074,3
Black River Country Bank,15152,Black River Falls,85424,100734,2
Mayville Savings Bank,30585,Mayville,66988,77774,1
Columbia Savings and Loan Association,28480,Milwaukee,19718,21202,1
