Bank,CERT,City,Deposits_$K,Card_issuer_rail,Rail_evidence,BizCard_page_URL,Application_link,Card_products,Apply_method,Confidence,Source_links,Screen_date
Nicolet National Bank,57038,Green Bay,13114848,SELF,"Own-brand cards; own page states ""Nicolet Bank Business Credit Cards feature the SpendTrack Digital Platform"" (SpendTrack = Fiserv commercial-card platform used by self-issuing banks); online application hosted on bank's own Salesforce portal nicolet.my.salesforce-sites.com; no third-party issuer named",https://www.nicoletbank.com/nicolet-bank-spendtrack-digital-platform,https://nicolet.my.salesforce-sites.com/creditcardapplication,Nicolet Bank Business Credit Card (SpendTrack platform); personal: Classic/Nicolet/Rewards,Online self-serve or branch,INFERRED,https://www.nicoletbank.com/nicolet-bank-spendtrack-digital-platform | https://www.nicoletbank.com/personal-banking/credit-cards,2026-07-26
National Exchange Bank and Trust,10044,Fond Du Lac,2317148,SELF,"Own page offers ""Business Visa Credit Card"" with ScoreCard Rewards and eZCard/ezbusiness card management (Fiserv self-issuer stack); no TCM/Elan/TIB/CorServ reference anywhere; apply = ""Contact your local office!""",https://nebat.com/business-card-services.html,None - branch/phone only (920-921-7700),Business Visa Credit Card; Business Visa CheckCard (ScoreCard Rewards),Branch/phone,VERIFIED-own-page,https://nebat.com/business-card-services.html | https://nebat.com/credit-cards.html | https://nebat.com/sft1798/nebat_businessvisacreditcardprogram.pdf,2026-07-26
Tri City National Bank,18922,Oak Creek,1768019,Elan,"Own business-card page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc."" Apply link = creditcardlearnmore.com; servicing = myaccountaccess.com",https://tcnb.com/business-credit-cards.html,https://creditcardlearnmore.com/11t3/index?ecdma-lc=13898&ecid=OTHE_25940,Business low rate / cash back / flexible rewards cards (Elan),Online self-serve,VERIFIED-own-page,https://tcnb.com/business-credit-cards.html,2026-07-26
Peoples State Bank,18569,Wausau,1200181,Elan,"Own business-card page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply = creditcardlearnmore.com (Elan)",https://www.bankpeoples.com/business/bank/credit-cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=00210&ecid=OTHE_25940,Business low rate / cash back / flexible rewards cards (Elan),Online self-serve,VERIFIED-own-page,https://www.bankpeoples.com/business/bank/credit-cards,2026-07-26
The Farmers & Merchants Bank,15779,Berlin,822608,SELF,"Own credit-card page markets only ""Farmers & Merchants Bank Visa Credit Card"" serviced at mycardstatement.com + scorecardrewards.com (Fiserv self-issuer stack); apply link is bank's own loans.fmberlin.com portal; no TCM/Elan/TIB/CorServ reference; NOTE: no dedicated BUSINESS credit card product advertised on site",https://www.fmberlin.com/loans/credit-cards/,https://loans.fmberlin.com/default.aspx,Farmers & Merchants Bank Visa Credit Card (no separate business card advertised),Online self-serve (bank's own loan portal) / branch,VERIFIED-own-page,https://www.fmberlin.com/loans/credit-cards/ | https://www.fmberlin.com/services/card-services/,2026-07-26
Royal Bank,13454,Elroy,716539,Elan,"Own business-card page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Apply = creditcardlearnmore.com (Elan)",https://www.royalbank-usa.com/business-and-ag/business-banking-services/business-credit-cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=231&ecid=OTHE_25940,Business low rate / cash back / flexible rewards cards (Elan),Online self-serve,VERIFIED-own-page,https://www.royalbank-usa.com/business-and-ag/business-banking-services/business-credit-cards,2026-07-26
"Great Midwest Bank, S.S.B.",29657,Brookfield,616915,Elan,"Own credit-card page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to a license from Visa U.S.A. Inc."" Apply = creditcardlearnmore.com; login = myaccountaccess.com; Elan Business Credit Card phone (866) 552-8855 listed",https://greatmidwestbank.com/bank-account/credit-cards/,https://creditcardlearnmore.com/11t3/index?ecdma-lc=01791&ecid=OTHE_25940,Business Visa/Mastercard - cash back or flexible rewards (Elan),Online self-serve,VERIFIED-own-page,https://greatmidwestbank.com/bank-account/credit-cards/,2026-07-26
Citizens State Bank of La Crosse,1513,La Crosse,531107,SELF,"Own business-card page markets ""Citizens State Bank Visa Credit Card"" (business version) with online application hosted on bank's own domain (/business-visa-credit-card-application-form) plus downloadable PDF; servicing via mycardstatement.com + scorecardrewards.com + Card Suite Pro (FIS/Fiserv self-issuer stack); no TCM/Elan/TIB/CorServ named",https://citizensstatebank.us/business-banking/lending/credit-cards,https://citizensstatebank.us/business-visa-credit-card-application-form,Citizens State Bank Visa Business Credit Card,Online self-serve (own form) or PDF/branch,VERIFIED-own-page,https://citizensstatebank.us/business-banking/lending/credit-cards | https://citizensstatebank.us/personal-banking/lending/credit-cards,2026-07-26
Citizens State Bank,6194,Hudson,411208,Elan,"Own business-card page states: ""Citizens State Bank partners with Elan VISA so you can find a business card solution that is right for you."" Apply = creditcardlearnmore.com (Elan); login = myaccountaccess.com. Entity confirmed as Hudson WI HQ on csbnet.net",https://www.csbnet.net/business/credit-cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=513&ecid=OTHE_25940,Elan Visa Business Credit Cards,Online self-serve,VERIFIED-own-page,https://www.csbnet.net/business/credit-cards,2026-07-26
Fortifi Bank,5286,Berlin,583932,Elan,"Own /cards/ page offers personal AND business credit cards via a single apply portal at mycardapply.com (Elan Financial Services' application site; ecdma-lc / ecid=OTHE_25940 = Elan tracking params). No TCM/mycommunitycc/TIB/CorServ reference on site",https://www.fortifibank.com/cards/,https://www.mycardapply.com/synindex/?ecdma-lc=37563&ecid=OTHE_25940&offertype=0,Fortifi Bank Business Mastercard (Elan-issued),Online self-serve (also legacy PDF business app),INFERRED,https://www.fortifibank.com/cards/ | https://www.mycardapply.com/synindex/ | https://www.fortifibank.com/wp-content/uploads/2020/06/Fortifi-Bank-Business-Credit-Card-App.pdf,2026-07-26
BLC Community Bank,11608,Little Chute,387184,Elan,"Own business-card page discloses: ""The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated."" Learn-more/apply = creditcardlearnmore.com#business",https://www.blccb.com/business/loans/business-credit-cards,https://creditcardlearnmore.com/11t3/index?ecdma-lc=36082&ecid=OTHE_25940#business,Elan Visa business cards - low rate / cash back / flexible rewards,Online self-serve via Elan portal; phone (920) 788-4141,VERIFIED-own-page,https://www.blccb.com/business/loans/business-credit-cards,2026-07-26
Mound City Bank,9037,Platteville,470816,TCM,"Own page states the VISA Platinum credit card is ""issued by TCM Bank, N.A. Subject to credit approval."" Apply link = mycommunitycc.com/YGto17sM8VyU (TCM's application host); statements at mycardstatement.com. NOTE: only Visa Platinum is advertised publicly - no separate business card page, but card program rail is TCM",https://www.moundcitybank.com/other-services/,https://mycommunitycc.com/YGto17sM8VyU,VISA Platinum credit card (TCM-issued); business card not separately advertised,Online self-serve via TCM application link; branch,VERIFIED-own-page,https://www.moundcitybank.com/other-services/ | https://mycommunitycc.com/YGto17sM8VyU,2026-07-26
