Bank,CERT,City,Deposits_$K,Assets_$K,Offices
Nicolet National Bank,57038,Green Bay,13114848,15548303,119
National Exchange Bank and Trust,10044,Fond Du Lac,2317148,2933056,34
Tri City National Bank,18922,Oak Creek,1768019,1969645,28
Peoples State Bank,18569,Wausau,1200181,1494913,12
The Farmers & Merchants Bank,15779,Berlin,822608,949001,2
Royal Bank,13454,Elroy,716539,808607,21
"Great Midwest Bank, S.S.B.",29657,Brookfield,616915,1058168,9
Fortifi Bank,5286,Berlin,583932,722966,10
Citizens State Bank of La Crosse,1513,La Crosse,531107,652985,4
Mound City Bank,9037,Platteville,470816,545892,6
Citizens State Bank,6194,Hudson,411208,488081,5
BLC Community Bank,11608,Little Chute,387184,475359,1
The Peoples Community Bank,15046,Mazomanie,344681,393818,6
First National Community Bank,5357,New Richmond,304143,336799,5
"Clare Bank, National Association",1022,Platteville,286713,342755,8
Bay Bank,34052,Green Bay,259308,312693,3
The First National Bank of Bangor,5337,Bangor,223904,359371,5
Security Bank,10015,New Auburn,204562,241081,4
Bank of Milton,11232,Milton,193050,222207,2
Badger Bank,2469,Fort Atkinson,172949,208831,4
The Bank of Kaukauna,15228,Kaukauna,144249,166911,1
River Falls State Bank,16840,River Falls,125735,141035,1
Headwaters State Bank,9035,Land O' Lakes,100361,119616,2
Community First Bank,12512,Rosholt,83412,101355,3
"Park Bank, National Association",13054,Holmen,62873,75444,3
Thrivent Trust Company,34799,Appleton,2000,15233,2
