Bank,CERT,City,Deposits_$K,Assets_$K,Offices
"Town Bank, National Association",34717,Hartland,3719776,4515383,26
One Community Bank,22334,Oregon,1997100,2545338,20
Horicon Bank,11236,Horicon,1443770,1675596,19
The Port Washington State Bank,8698,Port Washington,922861,1003271,8
Farmers and Merchants Union Bank,14445,Columbus,783784,903793,13
Dairy State Bank,17162,Rice Lake,644588,749618,12
Hiawatha National Bank,13058,Hager City,596152,773117,8
WOODTRUST BANK,5335,Wisconsin Rapids,574444,707460,7
Capitol Bank,34074,Madison,497652,589397,3
State Bank Financial,10383,La Crosse,451824,537110,5
Bank of Lake Mills,8695,Lake Mills,401023,530089,2
American National Bank - Fox Cities,33812,Appleton,366383,434410,1
Sterling Bank,6195,Barron,318906,355833,4
"The Equitable Bank, S.S.B.",28614,Wauwatosa,296086,326863,6
Laona State Bank,11601,Laona,265231,289711,7
Citizens State Bank of Loyal,6186,Loyal,242765,307286,5
East Wisconsin Savings Bank,30313,Kaukauna,219780,262951,4
Pillar Bank,5336,Baldwin,194972,266827,7
Marathon Bank,29745,Wausau,181373,248552,5
Bristol Morgan Bank,9523,Oakfield,150800,192921,4
The Pineries Bank,9526,Stevens Point,131324,149428,1
Bonduel State Bank,11235,Bonduel,112245,130666,1
KeySavings Bank,29691,Wisconsin Rapids,95223,127080,2
Ladysmith Federal Savings and Loan Association,28983,Ladysmith,70604,91880,1
Highland State Bank,6198,Highland,40899,46978,1
