Bank,CERT,City,Deposits_$K,Assets_$K,Offices
First Business Bank,15229,Madison,3571989,4320998,5
National Bank of Commerce,14266,Superior,1840777,2205753,21
Waukesha State Bank,16160,Waukesha,1267880,1633576,15
Bank of Wisconsin Dells,15136,Wisconsin Dells,918457,1073149,3
Bank Cmg,11623,Madison,781816,899766,10
The Bank of New Glarus,10378,New Glarus,644021,824180,8
The Stephenson National Bank and Trust,5306,Marinette,595960,684088,7
AbbyBank,19795,Abbotsford,565305,650667,9
Baraboo State Bank,12788,Baraboo,496839,575159,7
State Bank of Chilton,12331,Chilton,433403,512527,5
Oak Bank,35333,Fitchburg,397575,462129,1
Bank of Mauston,12327,Mauston,362417,419823,6
Shell Lake State Bank,14911,Shell Lake,309896,357524,5
Northern State Bank,15242,Ashland,295604,328842,7
"Cumberland Federal Bank, FSB",29293,Cumberland,262145,328621,2
The Farmers State Bank of Waupaca,13033,Waupaca,242233,275930,3
Partners Bank of Wisconsin,12513,Marshfield,218216,286808,3
Citizens State Bank,2467,Cadott,194657,242606,6
The Portage County Bank,10012,Almond,176573,212581,4
Farmers & Merchants Bank & Trust,10382,Marinette,146621,173633,3
Waldo State Bank,8700,Waldo,126964,153406,1
Security State Bank,9036,Iron River,110077,140565,3
The International Bank of Amherst,14907,Amherst,85674,100125,1
Bank of Ontario,21085,Ontario,67996,80553,3
First National Bank in Tigerton,14400,Tigerton,26520,30580,2
