"230","701 S Mount Vernon Ave, San Bernardino, CA, 92410","Match","Exact","701 S MOUNT VERNON AVE, SAN BERNARDINO, CA, 92410","-117.313798283877,34.089278863924","640054831","L"
"110","160 W Foothill Blvd, Upland, CA, 91786","Match","Exact","160 W FOOTHILL BLVD, UPLAND, CA, 91786","-117.653243119295,34.106940808777","657743008","L"
"231","4012 Grand Ave Ste A, Chino, CA, 91710","Match","Non_Exact","4012 GRAND AVE, CHINO, CA, 91710","-117.718375180878,33.997999538993","641280594","R"
"111","10590 Base Line Rd, Rancho Cucamonga, CA, 91701","Match","Non_Exact","10590 BASELINE RD, RANCHO CUCAMONGA, CA, 91701","-117.574162239895,34.121572394044","144969763","L"
"232","8401 Pine Ave Ste 110, Chino, CA, 91708","Match","Exact","8401 PINE AVE, CHINO, CA, 91708","-117.621977668317,33.958667444174","647991084","R"
"112","8501 Sierra Ave, Fontana, CA, 92335","Match","Exact","8501 SIERRA AVE, FONTANA, CA, 92335","-117.435707023342,34.099246408799","144642531","L"
"233","737 Rio Rancho Rd, Pomona, CA, 91766","Match","Exact","737 RIO RANCHO RD, POMONA, CA, 91766","-117.755721304132,34.033578398921","657078419","L"
"113","615 N La Cadena Dr, Colton, CA, 92324","Match","Exact","615 N LA CADENA DR, COLTON, CA, 92324","-117.323452000392,34.071445438554","649799772","L"
"234","2777 E Guasti Rd, Ontario, CA, 91761","Match","Exact","2777 E GUASTI RD, ONTARIO, CA, 91761","-117.59162307476,34.065285975628","647989800","L"
"114","4295 Concours, Ontario, CA, 91764","Match","Exact","4295 CONCOURS, ONTARIO, CA, 91764","-117.557938637582,34.074614219005","627839588","R"
"235","16014 Foothill Blvd, Fontana, CA, 92335","Match","Exact","16014 FOOTHILL BLVD, FONTANA, CA, 92335","-117.455567371981,34.106686389016","636194270","R"
"115","12035 Foothill Blvd, Rancho Cucamonga, CA, 91730","Match","Exact","12035 FOOTHILL BLVD, RANCHO CUCAMONGA, CA, 91730","-117.542673729103,34.106325589928","144640223","R"
"236","19100 Slover Ave, Bloomington, CA, 92316","Match","Exact","19100 SLOVER AVE, BLOOMINGTON, CA, 92316","-117.387630669684,34.063271105975","144646826","L"
"116","7862 Limonite Avenue, Jurupa Valley, CA, 92509","Match","Exact","7862 LIMONITE AVE, JURUPA VALLEY, CA, 92509","-117.455521166072,33.978377341406","640664568","L"
"237","4333 Orange St Ste 100, Riverside, CA, 92501","Match","Exact","4333 ORANGE ST, RIVERSIDE, CA, 92501","-117.376789121515,33.976274953845","194742127","R"
"117","11010 Limonite Ave, Jurupa Valley, CA, 91752","Match","Exact","11010 LIMONITE AVE, JURUPA VALLEY, CA, 91752","-117.523566366157,33.975402223283","194734856","L"
"238","2254 S Euclid Ave Ste A, Ontario, CA, 91762","Match","Non_Exact","2254 S EUCLID AVE, ONTARIO, CA, 91762","-117.651122450255,34.032325675936","636276087","R"
"118","3484 Central Ave, Riverside, CA, 92506","Match","Exact","3484 CENTRAL AVE, RIVERSIDE, CA, 92506","-117.387381104628,33.953554138889","646314806","L"
"239","2025 N RIVERSIDE AVE, Rialto, CA, 92377","Match","Exact","2025 N RIVERSIDE AVE, RIALTO, CA, 92377","-117.370400653996,34.136686712348","614820676","L"
"119","3715 Sunnyside Dr, Riverside, CA, 92506","Match","Exact","3715 SUNNYSIDE DR, RIVERSIDE, CA, 92506","-117.394748453576,33.9546404029","194741617","R"
"10","9244 Sierra Ave, Fontana, CA, 92335","Match","Exact","9244 SIERRA AVE, FONTANA, CA, 92335","-117.435779822285,34.085884575803","144645296","R"
"11","818 N Mountain Ave, Upland, CA, 91786","Match","Exact","818 N MOUNTAIN AVE, UPLAND, CA, 91786","-117.670122719115,34.103704642476","638618450","R"
"12","1555 E Highland Ave, San Bernardino, CA, 92404","Match","Exact","1555 E HIGHLAND AVE, SAN BERNARDINO, CA, 92404","-117.2534452916,34.135803782866","144656150","R"
"13","9590 Foothill Blvd, Rancho Cucamonga, CA, 91730","Match","Exact","9590 FOOTHILL BLVD, RANCHO CUCAMONGA, CA, 91730","-117.595934233279,34.106767067126","636195896","R"
"14","5455 Riverside Dr, Chino, CA, 91710","Match","Exact","5455 RIVERSIDE DR, CHINO, CA, 91710","-117.685987589567,34.019035315393","144673281","R"
"15","569 N Mountain Ave, Upland, CA, 91786","No_Match"
"16","9680 Haven Ave, Ste 100, Rancho Cucamonga, CA, 91730","Match","Exact","9680 HAVEN AVE, RANCHO CUCAMONGA, CA, 91730","-117.575782400182,34.079184642989","614815131","R"
"17","2401 S Grove Ave, Ontario, CA, 91761","Match","Exact","2401 S GROVE AVE, ONTARIO, CA, 91761","-117.628357122636,34.029738949619","144677091","L"
"18","1040 S Mount Vernon Ave, Ste A, Colton, CA, 92324","Match","Non_Exact","1040 S MOUNT VERNON AVE, COLTON, CA, 92324","-117.309106305425,34.051614174066","647990405","L"
"19","255 S Riverside Ave, Rialto, CA, 92376","Match","Exact","255 S RIVERSIDE AVE, RIALTO, CA, 92376","-117.370207005283,34.097369769842","144970751","L"
"240","4330 Mills Cir, Ontario, CA, 91764","Match","Exact","4330 MILLS CIR, ONTARIO, CA, 91764","-117.550271453887,34.0702553603","144983179","R"
"120","3695 Main St, Riverside, CA, 92501","Match","Exact","3695 MAIN ST, RIVERSIDE, CA, 92501","-117.373784177711,33.983091943929","194742095","R"
