Name,Type,CERT_Charter,Alameda_locations,Size
Western Alliance Bank,Bank,57512,Oakland,1546797K dep
Poppy Bank,Bank,57903,Alameda; Fremont; Pleasanton,469489K dep
Commercial Bank of California,Bank,57417,Oakland,349763K dep
City National Bank,Bank,17281,Oakland; Pleasanton,188393K dep
Metropolitan Bank,Bank,25869,Oakland,130583K dep
Westamerica Bank,Bank,3430,Pleasanton,47607K dep
First Federal Savings and Loan Association of San Rafael,Bank,31406,Oakland,40357K dep
COMMUNITYAMERICA,CU,15732,Oakland,8983073793
NUVISION,CU,566,Berkeley; Hayward; Pleasanton,3935777489
OPERATING ENGINEERS LOCAL UNION #3,CU,24235,Livermore; Pleasanton; San Leandro,1650775391
THE POLICE,CU,60968,Pleasanton,1054903235
F3,CU,64835,OAKLAND,239382940
