Name,Type,CERT_Charter,Alameda_locations,Size
Fremont Bank,Bank,19222,Castro Valley; Dublin; Fremont; Hayward; Livermore,3737939K dep
Beneficial State Bank,Bank,58490,Oakland,852846K dep
Heritage Bank of Commerce,Bank,33905,Fremont; Livermore; Oakland; Pleasanton,432672K dep
"Zions Bancorporation, N.A.",Bank,2270,Albany; Fremont; Oakland,327942K dep
Bank of the Orient,Bank,20387,Oakland,145379K dep
"Industrial and Commercial Bank of China USA, National Association",Bank,24387,Oakland,92564K dep
First Commercial Bank (USA),Bank,34496,Fremont,46106K dep
First Foundation Bank,Bank,58647,Oakland,22150K dep
CITIZENS EQUITY FIRST,CU,68448,Fremont,8605589543
PROVIDENT,CU,66343,Alameda; Dublin; Fremont; Hayward; Oakland,3625344175
PACIFIC SERVICE,CU,68413,Livermore,1345714932
UNCLE,CU,64482,LIVERMORE; PLEASANTON,738042834
SMW 104,CU,14934,Livermore,116775572
