Name,Type,CERT_Charter,Alameda_locations,Size
East West Bank,Bank,31628,Fremont; Newark; Oakland; Pleasanton,2497581K dep
Cathay Bank,Bank,18503,Dublin; Fremont; Oakland; Union City,822213K dep
United Business Bank,Bank,57716,Castro Valley; Livermore; Oakland; Pleasanton,413924K dep
"Gateway Bank, F.S.B.",Bank,33103,Oakland,215704K dep
Summit Bank,Bank,23864,Emeryville; Oakland,141643K dep
"EverBank, National Association",Bank,34775,Fremont; Oakland,61987K dep
"Golden Bank, National Association",Bank,26223,Fremont,43641K dep
THE GOLDEN 1,CU,61650,Oakland,21737187207
TECHNOLOGY,CU,68383,Dublin; Fremont,4655193719
SELF-HELP,CU,24802,Oakland,2405735320
1ST UNITED,CU,63958,Alameda; Castro Valley; Fremont; Hayward; Livermor,1253076745
I.L.W.U.,CU,24916,Oakland,601926772
BAY CITIES,CU,68316,Hayward,78847916
