Name,Type,Biz_card_or_LOC,Self_UW,TIB_requirement,Doc_requirement,NoDoc_NoSeason_probability,Bureau,Chex_EWS,Apply_method,New_LLC_DPs,Source_links,Notes
Fremont Bank,Bank,YES - 4 Business Platinum/World Elite Mastercards + business LOC,Likely self/agent-branded (myapexcard.com app portal; not Elan myaccountaccess) - unconfirmed issuer (fremontbank.com/business/credit 2026-06-30),none-stated (no public TIB on card pages; LOC page says 'subject to underwriting requirements' only - fremontbank.com 2026-06-30),unknown (no public doc list; card pages show no tax-return/financial requirement but 'exclusively for Fremont Bank customers' relationship gate) (fremontbank.com 2026-06-30),MEDIUM,unknown (likely personal-guarantee hard pull; not disclosed),unknown,Online (myapexcard.com) or branch; must be existing Fremont Bank customer,None found,https://www.fremontbank.com/business/credit | https://www.fremontbank.com/business/credit/platinum-credit-card | https://www.fremontbank.com/business/loans/business-lines-of-credit,Self-branded local CA bank. No public TIB gate (good for no-seasoning) BUT requires existing customer relationship and doc reqs undisclosed. Card portal myapexcard.com (not Elan/TCM standard). Needs phone confirm of TIB.
Beneficial State Bank,Bank,YES - 2 business credit cards + commercial LOC/SBA loans,unknown - card page 403 to fetch; 'connect with a banker' implies relationship/manual UW; commercial lending is officer-underwritten (beneficialstatebank.com 2026-06-30),unknown (CDFI mission lender; no public TIB stated; commercial LOC is officer-underwritten so likely full-doc) (beneficialstatebank.com 2026-06-30),full-doc (commercial LOC/SBA = officer-underwritten relationship lending; cards via banker contact - not app-only) (beneficialstatebank.com 2026-06-30),LOW,unknown,unknown,Contact banker / primary officer; not self-serve app-only,None found,https://www.beneficialstatebank.com/business-banking/credit-cards | https://en.wikipedia.org/wiki/Beneficial_State_Bank,CDFI community-development bank Oakland. Cards exist but require banker contact (not app-only) = relationship UW = likely doc-heavy. Mission lender may be new-biz friendly but not no-doc.
Heritage Bank of Commerce,Bank,N/A - MERGED into Citizens Business Bank,N/A - acquired,N/A,N/A,NONE,N/A,N/A,N/A (domain now redirects to cbbank.com),N/A,https://thebusinessjournal.com/citizens-business-bank-tops-20b-in-assets-after-heritage-merger/ | https://heritagebankofcommerce.bank/ (redirects cbbank.com),Heritage Commerce Corp merged into CVB Financial/Citizens Business Bank; all-stock deal closed ~April 17 2026. heritagebankofcommerce.bank now 301-redirects to cbbank.com. Defunct as separate institution - evaluate under Citizens Business Bank instead.
"Zions Bancorporation, N.A.",Bank,YES - AmaZing Rate / Cash / Commercial business credit cards + business LOC,Self-issued (Zions Bancorporation N.A. is the card issuer/lender across its divisions incl California Bank & Trust; not an Elan agent) (zionsbank.com/calbanktrust.com 2026-06-30),unknown - no public TIB on card pages or marketing; small-business guide says new businesses CAN apply (issuer reviews personal credit if business credit not established) but card-agreement application gate not disclosed online (zionsbank.com/personal/community/business-feed/small-business-credit-card-guide 2026-06-30),unknown (online 'Apply Now'; doc list not disclosed publicly; large-bank biz cards typically app-only with PG for small lines) (zionsbank.com 2026-06-30),MEDIUM,unknown (likely EX/TU/EQ hard pull w/ PG; not disclosed),unknown,Online Apply Now or branch; in CA served via California Bank & Trust division,"Guide states 'If your business is new...issuer will review your personal credit' - signals new-biz eligible, no DP confirmed",https://www.zionsbank.com/business/business-credit-cards/ | https://www.zionsbank.com/personal/community/business-feed/small-business-credit-card-guide/ | https://www.calbanktrust.com/content/dam/zbna/disclosures/shared/business/credit-cards/legacy-business-credit-card-rewards-terms-and-conditions.pdf,"Large self-issuing bank; CA presence = California Bank & Trust division. Own guide explicitly says new/unestablished businesses can apply (good no-seasoning signal) but no published TIB minimum and no community DP. Online app = app-only likely for small limits."
Bank of the Orient,Bank,LOC only (secured/unsecured revolving line) - NO business credit card found,Officer/relationship-underwritten commercial lending (bankorient.com Term-Loans-Line-of-Credit 2026-06-30),unknown (commercial relationship lending; no published TIB - manual UW) (bankorient.com 2026-06-30),full-doc (commercial LOC = relationship underwriting; inventory/receivables financing requires financials) (bankorient.com 2026-06-30),LOW,unknown,unknown,Branch / relationship officer (no online app-only card),None found,https://www.bankorient.com/en-us/Bank-Solutions/Business-Solutions/Term-Loans-Line-of-Credit,Small intl community bank SF/Oakland. No business credit card product; only officer-underwritten LOC/term loans = full-doc relationship lending. Fails no-doc.
"Industrial and Commercial Bank of China USA, National Association",Bank,Cards exist (UnionPay/consumer focus) + commercial lending/trade finance/LOC; business credit card unclear,Self-issued (ICBC USA NA) but relationship-gated; commercial lending officer-underwritten (icbc-us.com 2026-06-30),unknown (cards require existing-customer relationship; commercial LOC manual UW; no public TIB) (icbc-us.com 2026-06-30),full-doc / relationship (must be existing customer or open deposit acct; apply via email Cardinfo@icbc-us.com or in-branch - not app-only self-serve; commercial = financials) (icbc-us.com 2026-06-30),LOW,unknown,unknown,Email Cardinfo@icbc-us.com or in-branch; US citizen/PR only for UnionPay; existing-customer relationship required,None found,https://www.icbc-us.com/ | https://www.icbc-us.com/en/column/1438058492123824159.html,"Existing-customer gate + manual/email application + UnionPay consumer card focus. Citizenship/residency restriction. Not a no-doc app-only business card path. Commercial LOC is full-doc."
First Commercial Bank (USA),Bank,LOC only (short-term lines + long-term financing structured individually) - NO business credit card,Officer/relationship-underwritten ('structured individually to meet unique financing requirements') (bankfcb.com/Loans 2026-06-30),unknown (custom-structured commercial credit; no published TIB - manual UW) (bankfcb.com 2026-06-30),full-doc (individually-structured commercial loans/LOC = financials required) (bankfcb.com 2026-06-30),LOW,unknown,unknown,Branch (Fremont) / loan officer; no online card app,None found,https://www.bankfcb.com/Loans | https://www.bankfcb.com/en-us/,Small Taiwanese-affiliated commercial bank Fremont. No card product; only custom-structured commercial LOC/loans = full-doc. Fails no-doc.
First Foundation Bank,Bank,YES - business credit cards (multiple options) + business LOC/term loans + SBA,unknown issuer ('contact local branch'); LOC is commercial-banker-partnered relationship UW; SBA program for newer businesses (firstfoundationinc.com 2026-06-30),unknown (cards: 'contact local branch to learn more' - relationship-gated; LOC tailored by commercial banker = full-doc; SBA available for newer businesses) (firstfoundationinc.com 2026-06-30),unknown for cards / full-doc for LOC (cards via branch not app-only; LOC/SBA require financials) (firstfoundationinc.com 2026-06-30),LOW,unknown,unknown,Contact local branch (cards not self-serve app-only),"SBA page notes 'newer businesses...can find a flexible loan' - but that's SBA full-doc, not no-doc card",https://www.firstfoundationinc.com/business-banking/business-lending/business-credit-cards | https://www.firstfoundationinc.com/business-banking/business-lending/lines-credit-and-term-loans,"Cards exist but require branch contact (not app-only). LOC/SBA are full-doc relationship lending. New-biz friendly via SBA but that fails the no-doc filter. Card issuer undisclosed online."
CITIZENS EQUITY FIRST,CU,YES - Business Credit Mastercard ('businesses of all sizes') + business loans,Self/CU-issued Business Mastercard but routed through Business Loan Officers (not pure self-serve) (cefcu.com/business/borrow/credit-cards 2026-06-30),none-stated (no published TIB; 'businesses of all sizes' marketing; underwriting criteria not online) (cefcu.com 2026-06-30),unknown (card page lists no doc requirement; directs to Business Loan Officer - suggests some manual review; not confirmed app-only) (cefcu.com 2026-06-30),MEDIUM,unknown,unknown (CU - likely Chex/EWS on deposit acct to join),Contact Business Loan Officer (1.800.542.3328 x37065) - callback form; CA membership = live/work/worship Alameda/Contra Costa/Santa Clara,None found,https://www.cefcu.com/business/borrow/credit-cards.html | https://en.wikipedia.org/wiki/Citizens_Equity_First_Credit_Union,"Large CU (HQ Peoria IL; CA SEG in Alameda/CC/Santa Clara). Membership easy in Alameda. Business Mastercard exists w/ no published TIB gate (good no-seasoning signal) but routed via loan officer = some manual review, not confirmed no-doc/app-only. Needs officer confirm."
PROVIDENT,CU,YES - Business Rewards Visa + Business Share Secured Visa (self-issued); also business solutions,Self-issued (Provident CU issues its own Visa cards; NO Elan involvement per providentcu.org/products/credit-cards 2026-06-30) (providentcu.org 2026-06-30),none-stated (no published TIB requirement on business card page; one consumer card explicitly 'Qualify with no credit history' = flexible UW culture) (providentcu.org/business/business-credit-cards 2026-06-30),unknown->likely app-only (online 'Apply' for business Rewards/Secured Visa; no tax-return/financial requirement published; secured option available as fallback) (providentcu.org 2026-06-30),HIGH,unknown (likely SSN/EIN soft+hard; not disclosed),likely Chex/EWS to open membership share,Online Apply (business credit cards page); membership = Bay Area (Alameda/Dublin/Fremont/Hayward/Oakland branches) - easy to join; share-secured fallback if denied,None found (small-CU; expected),https://providentcu.org/business/business-credit-cards | https://providentcu.org/products/credit-cards | https://providentcu.org/products/business-solutions,"$3.6B Bay Area CU, 5 Alameda branches. Self-issues business Visa online, no published TIB gate, demonstrated low-barrier UW ('qualify with no credit history' on secured line) + share-secured business card as guaranteed fallback for brand-new LLC. Strong no-doc/no-seasoning profile. Confirm doc list by phone."
PACIFIC SERVICE,CU,NONE - consumer/personal only (Visa Platinum Rewards personal card; no business products),N/A - no business product (pacificservice.org 2026-06-30),N/A,N/A,NONE,N/A,N/A,N/A,N/A,https://www.pacificservice.org/ | https://www.pacificservice.org/bank/next-gen-banking,"$1.4B CU founded by PG&E employees. Site is entirely consumer-oriented (checking/savings/auto/home/personal loans + personal Visa). No business credit card, LOC, or business accounts found. Fails - no business product."
UNCLE,CU,YES - Business Rewards Mastercard ($500-$40k limit; no annual fee) + Business Checking/Savings,Self/CU-issued Business Mastercard; online self-serve 'Apply Now' loan portal (unclecu.org/business-credit-card 2026-06-30),none-stated (NO time-in-business requirement mentioned; 'based on creditworthiness'; no new-vs-established distinction) (unclecu.org/business-credit-card 2026-06-30),unknown->likely app-only (online application portal; no tax-return/financial-statement requirement published; creditworthiness-based) (unclecu.org 2026-06-30),HIGH,unknown (likely personal-guarantor hard pull; not disclosed),likely Chex/EWS to open membership share,Online Apply Now (loan portal); membership = live/work/worship in Alameda/Contra Costa/San Joaquin/Stanislaus - easy for Oakland/Alameda biz owner,None found (small-CU; expected),https://www.unclecu.org/business-credit-card/ | https://www.unclecu.org/businessbankingcards/,"$735M Livermore/Pleasanton CU. Business Mastercard with online self-serve app, explicitly NO published TIB minimum, no new/established distinction, creditworthiness-based, $500 floor limit good for new LLC. Easy Alameda membership. Strong no-doc/no-seasoning profile. Confirm doc list by phone."
SMW 104,CU,NONE - consumer Visa only; occupational membership (sheet metal workers),N/A - no business product; occupational FOM (smw104fcu.org 2026-06-30),N/A,N/A,NONE,N/A,N/A,N/A,N/A,https://smw104fcu.org/credit-card/ | https://creditunionmatch.com/credit-union/smw-104-federal-credit-union,"$117M union CU (Sheet Metal Workers Local 104), San Leandro. Occupational field-of-membership (must be a sheet metal worker/family) = ineligible for general Oakland/Alameda business owner. Consumer Visa only, no business products. Fails on both membership AND no business card."
