Name,Type,City,Deposits,Assets,Website,Biz_card(YES/NO/UNCLEAR),Card_link,Intro_0pct,Terms_note,Underwriter(SELF/name/UNKNOWN),UW_evidence,Apply,Apply_link,Bureau_quick,NoDoc_quick,Agreement_vs_prior,Twin_check,Source_links,Screen_date
"Bank of America, National Association",Out-of-state bank with CA branches (SOD),,422113884,,https://business.bankofamerica.com,YES,https://business.bankofamerica.com/en/credit-cards/business-advantage-unlimited-cash-rewards,YES (intro APR on purchases offered; cycle count rendered dynamically on page — prior: 0% 7-9 cycles),"3 Business Advantage cards (Unlimited Cash 1.5%, Customized Cash 3%, Travel); $0 AF on all; $500/50K bonuses",SELF,Apply-now buttons go to BofA secure portal on bankofamerica.com; no agent-bank tells,Online,https://business.bankofamerica.com/en/credit-cards,Not visible on live pages (prior: Experian-dominant in CA),Not visible live (prior: PG yes via SSN; no tax returns for cards),LIVE-CONFIRMS-PRIOR,OK — national brand; business.bankofamerica.com legitimate,https://business.bankofamerica.com/en/credit-cards; https://business.bankofamerica.com/en/credit-cards/business-advantage-unlimited-cash-rewards,2026-06-11
SCHOOLSFIRST FEDERAL CREDIT UNION,Credit Union,Santa Ana,31586618,36737429,https://www.schoolsfirstfcu.org,NO,,,Consumer-only lineup: Inspire / Rewards / School Employee / Share-Secured Mastercard — no business cards or business banking anywhere in nav,UNKNOWN,n/a — no card program,n/a,,n/a,n/a,LIVE-CONFIRMS-PRIOR (educator CU; consumer cards only),OK — schoolsfirstfcu.org is the Santa Ana educator CU,https://www.schoolsfirstfcu.org/products/credit-cards-personal-loans/credit-cards/; google SERP,2026-06-11
Western Alliance Bank,Out-of-state bank with CA branches (SOD),,17032527,,https://www.westernalliancebancorporation.com,YES,https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card,NO (no intro offer shown live),"Visa Business Plus: revolving, 1pt/$1, low fees, balance transfers, eZBusiness mgmt; APR not published; also commercial ONE Card / Commercial Plus",SELF,"Live page: 'This card is issued by Western Alliance Bank... pursuant to a license from Visa USA Inc.'",Online form -> banker callback in 2-3 business days (not instant online decision),https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card,Not visible live (prior mentor DP: TransUnion - unverified),Not visible live (prior: PG conditional; financials at banker discretion),LIVE-CONFIRMS-PRIOR (minor: apply is web form + banker contact rather than pure in-person),OK — westernalliancebancorporation.com official,https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card; https://www.westernalliancebancorporation.com/small-business/business-credit-cards,2026-06-11
"CITIZENS BUSINESS BANK, NATIONAL ASSOCIATION",Bank,Ontario,12002449,15511016,https://www.cbbank.com,YES,https://www.cbbank.com/banking/credit-debit-commercial-cards/,Not shown on bank page (prior via Elan offer page: 0% 12 cycles -> 17.24-26.24%),Mastercard Business Card via Elan (rewards/cash back/balance paydown options) + One Card commercial; terms not on bank site,Elan,"Live bank page: 'issued by Elan Financial Services'; apply via creditcardlearnmore.com; mgmt at clientaccess.elanfinancialservices.com",Online,https://www.creditcardlearnmore.com (linked from cbbank.com cards page),Not visible live (prior: TransUnion typical for Elan),Not visible live (prior: PG yes; no tax returns <$25K),LIVE-CONFIRMS-PRIOR,OK — cbbank.com = Citizens Business Bank Ontario CA,https://www.cbbank.com/banking/credit-debit-commercial-cards/,2026-06-11
LOGIX FEDERAL CREDIT UNION,Credit Union,Valencia,8192822,9716130,https://www.logixbanking.com,YES,https://www.logixbanking.com/business/credit-card,NO (5.99% intro APR 6 months — not 0%),Smart Business Cashback Mastercard: 5.99% intro 6mo -> 17.99%; $0 AF; 1.5 pts/$1 redeemable as cashback,SELF,Live page: Logix FCU issues directly; no Elan/TCM/FNBO tells anywhere on page,Appointment (schedule with business banking team; no direct online app),https://www.logixbanking.com/business/credit-card,Not visible live (prior: consumer lawsuit alleged EQ+TU),Not visible live (prior: PG inferred),LIVE-CONFIRMS-PRIOR,OK — logixbanking.com = Logix FCU Valencia CA,https://www.logixbanking.com/business/credit-card,2026-06-11
MISSION FEDERAL CREDIT UNION,Credit Union,San Diego,6318213,7232363,https://www.missionfed.com,NO,,,Small-business page offers business checking / loans / merchant services + consumer Mastercards (Premier World / Preferred Platinum) only — NO business credit card,UNKNOWN,n/a — no business card program found on missionfed.com,n/a,,n/a,n/a,"LIVE-CONTRADICTS-PRIOR — TWIN CONFUSION: prior row cited missionbank.bank + TCM mycommunitycc link, which belong to MISSION BANK (Bakersfield, missionbank.bank/business/business-credit-cards, TCM-issued). Mission FEDERAL CU (San Diego) shows no business card live",FAIL in prior (prior site = missionbank.bank = Mission Bank Bakersfield; correct site = missionfed.com San Diego),https://www.missionfed.com/business/; https://www.missionbank.bank/business/business-credit-cards; google SERP,2026-06-11
HERITAGE BANK OF COMMERCE,Bank,San Jose,4821348,5670019,https://heritagebankofcommerce.bank,NO,,,Site banner: 'Heritage Bank of Commerce is now Citizens Business Bank' — merger completed; no card products advertised; successor program = Citizens Business Bank (Elan),(merged - see Citizens Business Bank / Elan),Live merger banner on heritagebankofcommerce.bank; CVBF/HTBK merger shareholder-approved 2026-03-26 and closed Q2 2026 (SEC 8-K),n/a,,n/a,n/a,LIVE-CONFIRMS-PRIOR (merger now visibly complete on site),OK — heritagebankofcommerce.bank still resolves with transition notice,https://heritagebankofcommerce.bank/; https://www.sec.gov/Archives/edgar/data/0001053352/000119312526111645/d72195d8k.htm,2026-06-11
SAFE CREDIT UNION,Credit Union,Folsom,3990691,4451527,https://www.safecu.org,YES,https://www.safecu.org/business/grow-your-business/visa-business,YES — 0% APR first 12 billing cycles on balance transfers (BT promo only; purchases at standard APR),SAFE Visa Business: $0 AF; no BT/cash-advance fees; rewards on business spend; variable APR after promo (range not shown live; prior 13.40-19.40%),SELF,Live page presents card as SAFE's own; no external issuer tells (no Elan/TCM/FNBO); managed in SAFE Online Banking,Appointment (Schedule Appointment button; no online app),https://www.safecu.org/business/grow-your-business/visa-business,Not visible live (prior: TU for personal/membership),Not visible live (prior: explicit PG + financials on request),LIVE-CONFIRMS-PRIOR,OK — safecu.org = SAFE CU Folsom CA,https://www.safecu.org/business/grow-your-business/visa-business,2026-06-11
"CALIFORNIA BANK OF COMMERCE, NATIONAL ASSOCIATION",Bank,San Diego,3402697,4046537,https://www.californiabankofcommerce.com,YES,https://www.californiabankofcommerce.com/business-financing-solutions/,Not shown live (no terms published),"'Variety of business credit cards... low rates, account access, rewards programs'; EMV/mobile; no rates/AF published; also separate Commercial Card portal",Elan,Logins page links 'Credit Card Service Center' -> myaccountaccess.com/onlineCard/login.do?theme=elan1 (Elan portal); commercial cards at cbc.commercialcardportal.com,Banker (no public apply link; contact 844.265.7622),https://www.californiabankofcommerce.com/contact/,Not visible live (prior: TU forum DP for Elan),Not visible live (prior: PG yes; no tax returns <$25K),LIVE-CONFIRMS-PRIOR (Elan re-proven via live myaccountaccess theme=elan1 login),OK — californiabankofcommerce.com HQ San Diego (post-CALB/BCAL merger brand),https://www.californiabankofcommerce.com/business-financing-solutions/; https://www.californiabankofcommerce.com/online-banking-logins/,2026-06-11
"Flagstar Bank, National Association",Out-of-state bank with CA branches (SOD),,3126219,,https://www.flagstar.com,YES,https://card.fnbo.com/mpp/fi/flagstar/business/web-visa,YES — 0% intro 18 billing cycles (standard Business Edition Visa) / 0% 12 cycles (Absolute Rewards version) on purchases + BTs,3 Business Edition Visa cards incl. secured (Maximum Rewards); $0 AF on all; apply online at card.fnbo.com,FNBO,"Live card page: 'issued by First National Bank of Omaha (FNBO), pursuant to a license from Visa U.S.A., Inc.' under Flagstar branding",Online,https://card.fnbo.com/mpp/fi/flagstar/business/web-visa,Not visible live (prior: Experian — FNBO standard),Not visible live (prior: PG typical for FNBO),LIVE-CONFIRMS-PRIOR + richer: live shows 0% 12/18-cycle intro terms prior lacked (flagstar.com homepage 403-blocked; verified via FNBO co-brand page),OK — card.fnbo.com/mpp/fi/flagstar is the official FNBO agent page for Flagstar,https://card.fnbo.com/mpp/fi/flagstar/business/web-visa,2026-06-11
