Name,Type,City,State,Assets,Deposits,PRIOR_card,PRIOR_card_link,PRIOR_underwriter,PRIOR_apply,PRIOR_bureau,PRIOR_nodoc,PRIOR_site
First-Citizens Bank & Trust Company,Out-of-state bank with CA branches (SOD),,,,49197599,"✅ 4 Business Visa (Cash Rewards, Rewards, Premium $95, Low-Interest 0% 12mo). Branch-apply only. + SVB Innovator (NO PG,",https://www.firstcitizens.com/small-business/credit-financing/credit-cards,Self (First-Citizens Bank & Trust),In-person,All 3 bureaus (EX+EQ+TU) blended w/ business data ‖ v7 2026-06-11: bureau verdict [COMMUNITY-DP] vs ,PG yes; NO tax returns (states income) — but branch + relationship gated | fit:2,https://www.firstcitizens.com/small-business/credit-financing/credit-cards
THE GOLDEN 1 CREDIT UNION,Credit Union,Sacramento,CA,21737187,19512114,❌ No business card (business services = deposit-only; personal cards prohibit business use),—,None (self-issues personal cards only),No,N/M,N/M | fit:0,https://www.golden1.com/business-services
"Pacific Premier Bank, National Association",Out-of-state bank with CA branches (SOD),,,,13467773,⚠️ DEFUNCT — brand retired Aug 2025 (acquired by Columbia Banking); legacy cards FNBO-issued; successor = Columbia Bank ,—,(legacy FNBO; now Columbia / Elan),No,N/M,N/M | fit:0,https://www.columbiabank.com/ppbi
PATELCO CREDIT UNION,Credit Union,Dublin,CA,9617000,8288036,✅ Mastercard Business Rewards: NO 0% intro; 10.65-20.15% (LOW); $0 AF; 1.5pts. 2yr-in-business required,https://www.patelco.org/business-banking/business-rewards-card,Self (Patelco Credit Union),Assisted,Experian (personal cards; business INFERENCE),PG yes (INFERENCE); no tax returns | fit:0,https://www.patelco.org/business-banking/business-rewards-card
SMBC MANUBANK,Bank,Los Angeles,CA,7728868,6731415,✅ 0% 18 mo → 17.24-26.24%; $0 AF (being acquired by Bank of Hope),https://www.smbcmanubank.com/business-and-commercial/borrow/business-lending/business-credit-cards,Elan,In-person,Experian most-reported (Elan; varies),PG yes; no tax returns (<$25K) | fit:2,https://www.smbcmanubank.com
FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,Bank,Lodi,CA,5836466,5120775,✅ no 0%; APR N/M; Simply Rewards 3X,https://www.fmbonline.com/loans/credit-cards/business-credit-cards.html,"UMB Bank, N.A. (Card Center Direct)",In-person,N/M (UMB not on DoC list),PG likely (UMB standard); tax returns N/M | fit:2,https://www.fmbonline.com
CTBC BANK CORP. (USA),Bank,Los Angeles,CA,5369932,4546301,❌ No BUSINESS card (consumer-only via TCM),—,None for business (TCM issues its consumer cards),No,N/M,N/M | fit:0,https://www.ctbcbankusa.com
VALLEY STRONG CREDIT UNION,Credit Union,Bakersfield,CA,4074429,3642703,"✅ Business Platinum (“high spending limits”) + Business Rewards (1% cash back, $0 AF, employee cards)",https://www.valleystrong.com/business-platinum-credit-card,"Self (INFERRED-strong — CFPB agreement DB lists “Valley Strong Credit Union” as issuer of its own Visa agreements, check",Online,v7 2026-06-11: bureau verdict [UNKNOWN] vs mentor '(2nd priority)' = n/a. No bureau DP found. (DPs n,N/M — not published | fit:—,https://www.valleystrong.com
First Bank,Out-of-state bank with CA branches (SOD),,,,3168933,✅ 4 Mastercards (Business Platinum / Platinum Rewards / Low Rate / World Elite); terms N/M,https://firstbank.myapexcard.com,Self (CorServ 'Apex' platform — firstbank.myapexcard.com),Online,N/M,N/M | fit:3,https://www.first.bank
EXCHANGE BANK,Bank,Santa Rosa,CA,3266467,2837604,✅ 0% 12 cycles → 17.24-26.24%; $0 AF,https://creditcardlearnmore.com/11t3/index?ecdma-lc=02912&ecid=OTHE_25940#business,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.exchangebank.com
ALTURA FEDERAL CREDIT UNION,Credit Union,Riverside,CA,2665893,2386844,"✅ Business Platinum: NO 0% intro; APR N/M ('competitive', consumer 'as low as 12.49%'); $0 AF; up to $25K; no LLC requir",https://www.alturacu.com/business-credit-card/,Self (likely; CU; Velera processor possible — not confirmed),In-person,N/M,N/M (LLC NOT required; PG/docs unstated) | fit:2,https://www.alturacu.com/business-credit-card/
AVIDBANK,Bank,San Jose,CA,2572193,2202730,⚠️ Commercial — CorServ (May 2024); custom rebates; relationship only,https://www.avidbank.com/corporate-banking,Self (CorServ Account Issuer),In-person,N/M,N/M (commercial-card underwriting) | fit:0,https://www.avidbank.com
FINANCIAL PARTNERS CREDIT UNION,Credit Union,Downey,CA,2247379,1787836,❌ No BUSINESS card (consumer Visa only; business = deposit accounts only),—,Self (consumer cards; no business card),No,N/M,N/M | fit:0,https://fpcu.org/loans-credit/credit-cards
COMMONWEALTH BUSINESS BANK,Bank,Los Angeles,CA,1990854,1686692,✅ 0% 6 cycles (Real Rewards); $0 AF; 1.5% + 5.5% travel,https://creditcardlearnmore.com/11t3/business-real-rewards,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.cbb-bank.com
VENTURA COUNTY CREDIT UNION,Credit Union,Ventura,CA,1467597,1303082,✅ Business Mastercard (employee cards) + Business LOC (revolving) + term/CRE/SBA,https://www.vccuonline.net/Business,Self (INFERRED — own-branded “Business Credit Cards from Mastercard”; no Elan/TCM/FNBO branding; agreement not posted),Branch/phone,—,"UNKNOWN — relationship-based, no published doc list | fit:—",https://www.vccuonline.net/Business
LOS ANGELES FEDERAL CREDIT UNION,Credit Union,Glendale,CA,1278292,1146363,"✅ Business Rewards Platinum Visa: no 0%; 15.75% var; $0 AF; 2x/1x CURewards; limit UP TO $50,000 ‖ v6 2026-06-10: re-ver",https://www.lafcu.org/loans-credit/business-loans,Self (LAFCU is creditor per agreement; Velera/CURewards = processor) ‖ v6 2026-06-10: consumer Visa agreement names LAFC,Online,Membership = TU hard pull + ChexSystems (own site verbatim); card DPs mixed: EX (2022 denial) / TU08,PG expected (guarantor role in portal); income docs N/M (not published) | fit:3,https://www.lafcu.org
