Name,Type,City,Deposits,Assets,Website,Biz_card(YES/NO/UNCLEAR),Card_link,Intro_0pct,Terms_note,Underwriter(SELF/name/UNKNOWN),UW_evidence,Apply(Online/Call/Branch/UNKNOWN),Apply_link,Bureau_quick,NoDoc_quick,Twin_check,Source_links,Screen_date
TECHNOLOGY CREDIT UNION,Credit Union,San Jose,3762517,4655194,https://www.techcu.com/,NO,,,Business section lists checking/loans/debit only; no business credit card,,,,,,,"CAUTION: twin = Tech Credit Union (techcu.org, Indiana/Illinois) which DOES have business banking","https://www.techcu.com/business/",2026-06-11
COASTHILLS FEDERAL CREDIT UNION,Credit Union,Santa Maria,1489558,1765233,https://coasthills.coop/,YES,https://coasthills.coop/business/borrow/business-visa-credit-card,NO (3.99% intro APR on balance transfers 6 mo),Business Platinum Visa; rewards points; no BT fee; Visa Zero Liability,UNKNOWN,Card page 403-blocked; no servicer evidence found,UNKNOWN,https://coasthills.coop/resources/support/business-contact,,,No twin found,https://coasthills.coop/business/borrow/business-visa-credit-card,2026-06-11
FARMERS INSURANCE FEDERAL CREDIT UNION,Credit Union,Burbank,1162631,1366674,https://figfcu.org/,NO,,,Personal cards only (Crystal/Platinum/Select/Blue Visa); business loans offered but no business credit card,,,,,,,No twin found,https://figfcu.org/credit-cards,2026-06-11
HONDA FEDERAL CREDIT UNION,Credit Union,Torrance,1041171,1204193,https://www.hondafcu.org/,YES,https://www.hondafcu.org/hondafcu/media/pdfs/disclosures/visa-disclosure.pdf,Not visible,Visa Business Card exists per own Visa disclosure + Member Advantage Points T&C; not promoted on cards page (only Classic/Gold shown),SELF,Own-domain disclosure PDF and in-house Member Advantage Points rewards program covering Visa Business,UNKNOWN,https://www.hondafcu.org/loans-and-credit-cards/credit-cards,,,No twin found,https://www.hondafcu.org/loans-and-credit-cards/credit-cards; https://www.hondafcu.org/hondafcu/media/pdfs/annual-reports/rewards-program-terms-and-conditions.pdf,2026-06-11
"Industrial and Commercial Bank of China USA, National Association",Out-of-state bank with CA branches (SOD),,908379,,https://www.icbc-us.com/,NO,,,Personal cards only (UnionPay Gold/Platinum + Visa/Visa Signature); existing customers only; apply by email or branch,,,,,,,Twin: parent ICBC China (icbc-ltd.com) has many cards - do not confuse with US entity,https://www.icbc-us.com/en/column/1438058492123824159.html,2026-06-11
AMERICA'S CHRISTIAN CREDIT UNION,Credit Union,Glendora,725964,818406,https://americaschristiancu.com/,YES,https://americaschristiancu.com/organization/visa-business-rewards-credit-card/,Not visible,Visa Business Rewards + Visa Ministry Rewards; no annual fee; 30k-pt bonus ($3500/3mo); 5x giving/3x travel/1.5x everyday; free employee cards,SELF,CURewards redemption partnership + Visa 360 card controls on own domain,Call,https://americaschristiancu.com/organization/visa-business-rewards-credit-card/,,,No twin found,https://americaschristiancu.com/organization/visa-business-rewards-credit-card/,2026-06-11
UNCLE CREDIT UNION,Credit Union,Livermore,663677,738043,https://www.unclecu.org/,YES,https://www.unclecu.org/business-credit-card/,NO (none mentioned),Business Rewards Credit Card; 13.99%-28.99% APR; limits $500-$40k; no annual fee; 1.5x points,SELF,Own-domain card page; online app via app.loanspq.com (MeridianLink) not a card-issuer portal; no Elan/FNBO/Collabria evidence,Online,https://app.loanspq.com/cc/CreditCard.aspx (via Apply Now on card page),,,No twin found,https://www.unclecu.org/business-credit-card/,2026-06-11
I.L.W.U. FEDERAL CREDIT UNION,Credit Union,Long Beach,546856,601927,https://www.ilwucu.org/,NO,,,Consumer Visa cards only (CARGO Rewards/Platinum/Secured); no business card on cards page,,,,,,,No twin found,https://www.ilwucu.org/loans/credit_cards,2026-06-11
GLENDALE AREA SCHOOLS CREDIT UNION,Credit Union,Glendale,364073,421655,https://gascu.org/,NO,,,Consumer Bonus Rewards VISA only; business loans offered but no business credit card,,,,,,,No twin found,https://gascu.org/,2026-06-11
TUCOEMAS FEDERAL CREDIT UNION,Credit Union,Visalia,305226,336861,https://www.tucoemas.org/,YES,https://www.tucoemas.org/business/,Not visible,"Business Credit Cards listed under Business: ""low fixed rate""; no rate/term detail on site",UNKNOWN,No servicer evidence visible on business pages,Call,tel:559-732-8892 / BusinessAccounts@tucoemas.org,,,No twin found,https://www.tucoemas.org/business/,2026-06-11
FAMILIES AND SCHOOLS TOGETHER FEDERAL CREDIT UNION,Credit Union,Hanford,261901,328114,https://www.fastcu.com/,NO,,,Personal credit cards only; no business banking section in nav,,,,,,,No twin found,https://www.fastcu.com/,2026-06-11
CHAFFEY FEDERAL CREDIT UNION,Credit Union,Upland,201756,229064,https://www.chaffey.com/,NO,,,Personal Visa only (Platinum/Gold/Classic/Advantage); no business banking in nav,,,,,,,No twin found (note: domain is chaffey.com not chaffeyfcu.org),https://www.chaffey.com/,2026-06-11
SCHOOLS FEDERAL CREDIT UNION,Credit Union,Torrance,168328,192652,https://www.schoolsfcu.org/,NO,,,Consumer Platinum VISA only; no business products in nav,,,,,,,CAUTION: do not confuse with SchoolsFirst FCU (schoolsfirstfcu.org) - different much larger CU,https://www.schoolsfcu.org/,2026-06-11
TORRANCE COMMUNITY FEDERAL CREDIT UNION,Credit Union,Torrance,147984,160035,https://www.torranceccu.org/,NO,,,Consumer Platinum Rewards Mastercard only; no business banking on site,,,,,,,No twin found,https://www.torranceccu.org/,2026-06-11
SISKIYOU CREDIT UNION,Credit Union,Yreka,134011,144716,https://www.siskiyoucu.org/,NO,,,Business Checking offered but only consumer Visa cards; no business credit card listed,,,,,,,Listed as Siskiyou Central CU in some directories - same entity,https://www.siskiyoucu.org/,2026-06-11
RANCHO FEDERAL CREDIT UNION,Credit Union,Downey,101228,110306,https://www.ranchofcu.org/,NO,,,Personal Premier Mastercard only; no business products,,,,,,,No twin found,https://www.ranchofcu.org/,2026-06-11
SEA AIR FEDERAL CREDIT UNION,Credit Union,Seal Beach,90009,118186,https://www.seaairfcu.org/,NO,,,Business savings/checking offered but single consumer VisaCard only; no business credit card,,,,,,,No twin found,https://www.seaairfcu.org/,2026-06-11
VA DESERT PACIFIC FEDERAL CREDIT UNION,Credit Union,Long Beach,77765,98985,https://www.vadpfcu.org/,NO,,,No business banking or business credit card on site,,,,,,,No twin found,https://www.vadpfcu.org/,2026-06-11
POSTCITY FINANCIAL CREDIT UNION,Credit Union,Long Beach,68686,78185,https://www.postcitycu.org/,NO,,,Consumer-only (postal employees); no business products,,,,,,,No twin found,https://www.postcitycu.org/,2026-06-11
SHELL WESTERN STATES FEDERAL CREDIT UNION,Credit Union,Martinez,61674,69331,https://swsfcu.org/,NO,,,Personal Visa tiers only (Platinum/Gold/Classic/Credit Builder); no business products,,,,,,,No twin found,https://swsfcu.org/visa-credit-card,2026-06-11
PARISHIONERS FEDERAL CREDIT UNION,Credit Union,Torrance,56292,67162,https://www.parishionersfcu.org/,YES,https://www.parishionersfcu.org/business-cc.php,Not visible,Business Visa (low rate / cash back / flexible rewards options); free employee cards; online expense tools; Zero Fraud Liability,Elan,Search-confirmed creditor/issuer is Elan Financial Services (standard Elan business product suite); site fetch blocked,UNKNOWN,https://www.parishionersfcu.org/business-cc.php,,,No twin found,https://www.parishionersfcu.org/business-cc.php,2026-06-11
DOW GREAT WESTERN CREDIT UNION,Credit Union,Antioch,45164,48188,https://dowcu.org/,NO,,,Consumer fixed-rate cards only on credit-cards page; businesses may join but no business card product,,,,,,,CAUTION: twin = Dow Chemical Employees CU (dowcreditunion.org Midland MI) which has Low-Rate/Rewards Visa - distinct entity,https://dowcu.org/credit-cards/,2026-06-11
CALIFORNIA ADVENTIST FEDERAL CREDIT UNION,Credit Union,Glendale,36824,46063,https://www.cafcu.net/,YES,https://www.cafcu.net/visa,Not visible,Two Visa options - personal (low rate no annual fee) and business (rewards/rebates for company expenses); rates not published in search,UNKNOWN,Site fetch blocked; PDF application form on legacy portal suggests in-house processing but unconfirmed,Branch,https://www.cafcu.net/forms (PDF application),,,CAUTION: twin = cafcu.org (Corporate America Family CU IL) - different institution,https://www.cafcu.net/visa; https://www.cafcu.net/businessservices,2026-06-11
