Name,Type,City,State,Assets,Deposits,PRIOR_card,PRIOR_card_link,PRIOR_underwriter,PRIOR_apply,PRIOR_bureau,PRIOR_nodoc,PRIOR_site
"Wells Fargo Bank, National Association",Out-of-state bank with CA branches (SOD),,,,299560094,"✅ Signify Business Cash: 0% 12 mo, $0 AF, 2% (ONLY card open to new apps)",https://www.wellsfargo.com/biz/business-credit/credit-cards/signify-business-cash-credit-card-terms-conditions/,Self (Wells Fargo Bank NA),Online,CA = Experian-dominant (DoC CA: 9 EX / 2 TU / 1 EQ) ‖ v7 2026-06-11: bureau verdict [CONSUMER-PROXY],PG yes (Account Guarantor); NO tax returns (cards) | fit:4,https://www.wellsfargo.com/biz/business-credit/credit-cards/
BANC OF CALIFORNIA,Bank,Los Angeles,CA,34642892,27440681,✅ 0% 20 cycles → ~17-26% var; $0 AF (BEST 0% in set),https://bancofcal.com/payment-solutions/business-credit-card/,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://bancofcal.com
BANK OF HOPE,Bank,Los Angeles,CA,18652384,15771705,✅ 0% 9 cycles → 17.74-25.74%; $0 AF; no FX fee,https://www.bankofhope.com/business-banking/credit-cards,Elan,In-person,TransUnion (varies EX/EQ) ‖ v7 2026-06-11: bureau verdict [VERIFIED-disclosure (issuer) + Elan-varia,PG yes; no tax returns (<$25K) | fit:2,https://www.bankofhope.com
FARMERS AND MERCHANTS BANK OF LONG BEACH,Bank,Long Beach,CA,11856598,8938167,✅ 0% 12 cycles → 17.24-26.24%; $0 AF; $350 SUB,https://creditcardlearnmore.com/11t3/index?ecdma-lc=31463&ecid=OTHE_25940,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.fmb.com
"FIRST AMERICAN TRUST, FSB",Savings Institution (Federal Savings Bank),Santa Ana,CA,8323217,7801359,❌ No card (trust/escrow bank),—,None,No,N/M,N/M | fit:0,https://www.firstamtrust.com
POPPY BANK,Bank,Santa Rosa,CA,7796215,6015080,✅ 0% 12 cycles → 17.24-26.24%; $0 AF,https://creditcardlearnmore.com/11t3/index?ecdma-lc=07362&ecid=OTHE_25940#business,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.poppy.bank
Enterprise Bank & Trust,Out-of-state bank with CA branches (SOD),,,,4811960,✅ no 0% (biz); 19.25% (Prime+12.5%); $0/$50 AF; 1.25x/1.5x points; + Commercial Card Solution,https://www.enterprisebank.com/business/credit-cards,"Self (FIS rails: eZBusiness/ezcardinfo/ScoreCard; zero agent-portal tells — MED-HIGH inference, no agreement PDF) ‖ v6 2",In-person,N/M (zero public DPs — datapoint desert) ‖ v6 2026-06-10: confirmed datapoint desert as of 2026-06-1,N/M (nothing published) | fit:2,https://www.enterprisebank.com
AMERICAN BUSINESS BANK,Bank,Los Angeles,CA,4371214,3904079,⚠️ Commercial — 'Corporate Cards'; issuer/terms N/M,https://americanbb.bank/services/relationship-banking/credit-services/,Unknown (not disclosed),In-person,N/M,PG likely; 2yr tax returns for loans (3rd-party review) | fit:0,https://americanbb.bank
COMMERCIAL BANK OF CALIFORNIA,Bank,Irvine,CA,3899410,3390468,"❌ No card (merchant acquirer, not issuer)",—,"None (card acceptance, not issuance)",No,N/M,N/M | fit:0,https://cbcal.com
CALIFORNIA COAST CREDIT UNION,Credit Union,San Diego,CA,3469511,3058434,❌ No business card (consumer cards only; business = loans via NewtekOne),—,None (no business card),No,N/M,N/M | fit:0,https://www.calcoastcu.org/business-home-page/business-services/
WEST COAST COMMUNITY BANK,Bank,Santa Cruz,CA,2895001,2476069,⚠️ Commercial — CorServ Mastercard; $0 AF; phone only,https://wccb.com/corporate_cards,Self (CorServ 'Apex'),In-person,N/M,N/M (PG typical) | fit:2,https://wccb.com
UNITED BUSINESS BANK,Bank,Walnut Creek,CA,2632362,2267047,✅ card exists; issuer/terms unknown; Request-Info only,https://www.unitedbusinessbank.com/loans-credit/business-credit/business-credit-cards.html,Unknown (not named; no portal links),In-person,N/M,N/M ('subject to credit approval') | fit:2,https://www.unitedbusinessbank.com
COAST CENTRAL CREDIT UNION,Credit Union,Eureka,CA,2322103,2060772,✅ Business Visa Classic/Gold (up to 4 employee cards/app) — but paper app rev 10/04,https://www.coastccu.org/wp-content/uploads/2017/05/BusinessVisa.pdf,Self (VERIFIED from app PDF: issued “pursuant to Coast Central Credit Union VISA Credit Card Agreement”),Paper,—,FULL-DOC: biz tax return + P&L + balance sheet + PFS | fit:0,https://www.coastccu.org
MERIWEST CREDIT UNION,Credit Union,San Jose,CA,2163597,1753530,✅ but agent: “issued by Elan Financial Services” (VERIFIED meriwest.com 2026-06-10),—,"Elan (“issued by Elan Financial Services” — meriwest.com business credit cards page, 2026-06-10) → same Elan book as eve",Online (Elan app),—,"Elan-standard (PG, no tax returns) | fit:—",https://www.meriwest.com/business-services/business-credit-cards
FRONTWAVE CREDIT UNION,Credit Union,Oceanside,CA,1764704,1446543,❌ No BUSINESS card (consumer Visa only; business = loans/LOC),—,Self (consumer cards; no business card),No,N/M,N/M | fit:0,https://www.frontwavecu.com
