Rank,Institution,Current_grade,Current_bureau,Underwriter,Card
5,CITY NATIONAL BANK,CONSUMER-PROXY,Experian per consumer Crystal Infinite DPs (myFICO,SELF,YES
31,LOGIX FEDERAL CREDIT UNION,CONSUMER-PROXY,EX (EX for membership AND credit products; older D,SELF,YES
61,STANFORD FEDERAL CREDIT UNION,CONSUMER-PROXY,UNKNOWN bureau — SFCU marketing says rate-check/pr,SELF,YES
116,KEYPOINT CREDIT UNION,CONSUMER-PROXY,Experian — wallethub Q&A: Visa Classic app = hard ,SELF,YES
47,Enterprise Bank & Trust,UNKNOWN,UNKNOWN (no forum/DoC/disclosure DPs found),SELF,YES
70,First Bank,UNKNOWN,UNKNOWN - CorServ Account Issuer platform; bank 'p,SELF,YES
91,FIREFIGHTERS FIRST FEDERAL CREDIT UNION,UNKNOWN,UNKNOWN bureau - no pull DPs (niche occupational m,SELF,YES
106,BAY FEDERAL CREDIT UNION,UNKNOWN,UNKNOWN — no pull DPs on myFICO/CreditBoards/Reddi,SELF,YES
122,VENTURA COUNTY CREDIT UNION,UNKNOWN,UNKNOWN - no pull DPs found (searched VCCU + full ,SELF,YES
164,SUN COMMUNITY FEDERAL CREDIT UNION,UNKNOWN,UNKNOWN (no DPs),SELF,YES
189,EXCITE CREDIT UNION,UNKNOWN,UNKNOWN - no pull DPs found,SELF,YES
321,CALIFORNIA COMMUNITY CREDIT UNION,UNKNOWN,UNKNOWN — no pull DPs; tiny ($69M) CU with no foru,SELF,YES
