Name,Type,City,Deposits,Assets,Website,Biz_card(YES/NO/UNCLEAR),Card_link,Intro_0pct,Terms_note,Underwriter(SELF/name/UNKNOWN),UW_evidence,Apply(Online/Call/Branch/UNKNOWN),Apply_link,Bureau_quick,NoDoc_quick,Twin_check,Source_links,Screen_date
Washington Federal Bank (WaFd),Out-of-state bank with CA branches (SOD),Seattle WA,3886981,,https://www.wafdbank.com,YES,https://www.wafdbank.com/business-banking/business-credit-cards/small-business-credit-card,Not advertised,"No annual fee; 2% cash back gas/grocery/pharmacy (Visa Signature) / 1% all purchases; auto statement credit",SELF,Card pages hosted on own wafdbank.com domain; no third-party platform named; ""underwriting is based on your personal credit"",UNKNOWN,https://www.wafdbank.com/business-banking/business-credit-cards,Personal credit used in underwriting (stated on page),Not stated,WaFd Bank (Seattle WA); distinct from failed Washington Federal Bank for Savings (Chicago),https://www.wafdbank.com/business-banking/business-credit-cards/small-business-credit-card,2026-06-11
NORTHROP GRUMMAN FEDERAL CREDIT UNION,Credit Union,Gardena,1492015,1653498,https://www.ngfcu.us,NO,,,,,Consumer-only Visa/MC (low rate/cash rebate/CURewards); no business card on credit cards page,,,,,No twin found; ngfcu.us is official,https://www.ngfcu.us/borrow/credit-cards,2026-06-11
SAN FRANCISCO FEDERAL CREDIT UNION,Credit Union,San Francisco,1194502,1582268,https://www.sanfranciscofcu.com,NO,,,,,Business banking page lists checking/savings/commercial loans only; credit cards are consumer-only (Visa Platinum/Secured/Student),,,,,Distinct from SF Fire CU and Stanford FCU (both DO offer business cards),https://www.sanfranciscofcu.com/business-banking-products/,2026-06-11
UNITED SECURITY BANK,Bank,Fresno,1059462,1216537,https://www.unitedsecuritybank.com,NO,,,,,Business page lists deposits/cash mgmt/loans + merchant card services; no credit card product,,,,,No twin issues; unitedsecuritybank.com (Fresno CA),https://www.unitedsecuritybank.com/business,2026-06-11
MIRASTAR FEDERAL CREDIT UNION,Credit Union,San Jose,914626,1036195,https://www.mirastarfcu.org,NO,,,,,Credit card lineup is consumer-only (Secured Visa / Visa Platinum / Platinum Rewards); no business card found,,,,,Formerly Santa Clara County FCU (sccfcu login domain); same institution,https://www.mirastarfcu.org/banking/borrow-buy/credit-cards/,2026-06-11
SKYONE FEDERAL CREDIT UNION,Credit Union,Hawthorne,731080,875824,https://skyone.org,YES,https://skyone.org/business/business-credit-cards/,Unconfirmed (site returned 503 during screen),"Elan-issued Visa/Mastercard business cards; Visa Business Reporting tool; zero fraud liability",Elan Financial Services,"Page disclosure: ""creditor and issuer of these cards is Elan Financial Services"" (per search-indexed page text)",UNKNOWN,https://skyone.org/business/business-credit-cards/,,,No twin found; skyone.org official,https://skyone.org/business/business-credit-cards/,2026-06-11
FOOTHILL FEDERAL CREDIT UNION,Credit Union,Arcadia,668508,772237,https://www.foothillcu.org,NO,,,,,Card lineup is consumer Mastercard (rewards/low rate); no business card found in site index; direct fetch blocked (403),,,,,Many twins: Foothills CU (CO) / Carolina Foothills FCU (SC) / Foothills FCU - not this institution,https://www.foothillcu.org/Loans/Credit-Cards-Personal-Loans/Mastercard-Credit-Cards,2026-06-11
PREMIER ONE CREDIT UNION,Credit Union,San Jose,558082,656413,https://www.premieronecu.org,NO,,,,,Site nav has no business banking section; Card Center is personal credit cards only,,,,,PremierOne CU (San Jose); distinct from Premier America CU (Chatsworth),https://www.premieronecu.org/,2026-06-11
EAGLE COMMUNITY CREDIT UNION,Credit Union,Lake Forest,365601,411441,https://www.eaglecu.org,NO,,,,,Consumer Rewards Mastercard only; no business credit card found,,,,,Distinct from other Eagle-named CUs (e.g. Eagle One FCU PA),https://www.eaglecu.org/,2026-06-11
MONTEREY CREDIT UNION,Credit Union,Monterey,316246,356957,https://www.montereycu.com,NO,,,,,Consumer cards only (MCU Rewards / Trailblazer / Redwood); no business card,,,,,Distinct from Monterra CU (San Mateo Co.; formerly San Mateo CU),https://www.montereycu.com/credit-card.htm,2026-06-11
