Name,Type,City,Deposits,Assets,Website,Biz_card(YES/NO/UNCLEAR),Card_link,Intro_0pct,Terms_note,Underwriter(SELF/name/UNKNOWN),UW_evidence,Apply(Online/Call/Branch/UNKNOWN),Apply_link,Bureau_quick,NoDoc_quick,Twin_check,Source_links,Screen_date
CHEVRON FEDERAL CREDIT UNION,Credit Union,Concord,4770863,5440107,https://www.chevronfcu.org,NO,,,Personal cards only (issued by Elan Financial Services via mycardapply.com); no business card on credit cards page or in search,N/A (no biz card; personal=Elan),Personal card page: "creditor and issuer is Elan Financial Services"; myaccountaccess.com login,N/A,,,,No twin found,https://www.chevronfcu.org/personal-loans-and-credit/credit-cards,2026-06-11
MONTERRA CREDIT UNION,Credit Union,Redwood City,1654172,1920135,https://www.monterra.org,YES,https://www.monterra.org/business/credit-cards/business-rewards-visa-credit-card,UNCLEAR (intro APR offer on purchases first 90 days; rate not visible),Business Rewards Visa: no annual fee; variable rate; Monterra Rewards points; intro APR offer first 90 days,SELF,Card hosted on own domain; apply via Monterra Online Banking "Apply" menu or new-member application,Online,https://www.monterra.org/business/credit-cards/business-rewards-visa-credit-card,,,Formerly San Mateo Credit Union; distinct from Monterey Credit Union (montereycu.com),https://www.monterra.org/business/credit-cards/business-rewards-visa-credit-card,2026-06-11
SIERRA CENTRAL CREDIT UNION,Credit Union,Yuba City,1339334,1496982,https://www.sierracentral.com,YES,https://www.sierracentral.com/products/business-visa,UNCLEAR (6-month intro rate period; intro rate value not shown - not confirmed 0%),Business VISA: APR as low as 16.74%-22.99% (prime+9.99% after intro); credit line $5K-$50K; no annual fee,SELF,Card on own domain; applications via own LOS sierracentral.apps.ilendx.tech (iLendX); no Elan/TCM markers,Online,https://sierracentral.apps.ilendx.tech/,,,No twin found,https://www.sierracentral.com/borrow/credit-cards; https://www.sierracentral.com/products/business-visa,2026-06-11
1ST UNITED CREDIT UNION,Credit Union,Pleasanton,1099282,1253077,https://www.1stunitedcu.org,NO,,,Personal Visa Platinum/Rewards/Secured only; no business credit card found on site or search,N/A,,N/A,,,,Distinct from other "1st United" CUs (e.g. 1st United Services); verify by Pleasanton CA HQ,https://www.1stunitedcu.org/loans-and-credit/product/credit-cards,2026-06-11
THE POLICE CREDIT UNION,Credit Union,San Bruno,936056,1054903,https://www.thepolicecu.org,NO,,,Personal Platinum Visa only (CURewards); business checking exists but no business credit card found,N/A (personal card uses CURewards = self-issued),Personal Platinum Visa uses CURewards program,N/A,,,,Formerly SF Police Credit Union; same entity,https://www.thepolicecu.org/credit-cards/platinum-visa,2026-06-11
SUN COMMUNITY FEDERAL CREDIT UNION,Credit Union,El Centro,806837,896541,https://www.suncommunity.com,YES,https://www.suncommunity.com/products/business-credit-card,Not shown,Business credit card: no annual fee; cashback rewards 1pt/$1 (rewards via dreampoints.com); flexible purchasing power,SELF,Card on own domain; rewards via dreampoints.com/suncommunity; no Elan/TCM/FNBO markers; apply via own commercial lending dept,Call,tel:7603368663 / commerciallending@suncommunityfcu.org,,,No twin found,https://www.suncommunity.com/products/business-credit-card,2026-06-11
1ST NORTHERN CALIFORNIA CREDIT UNION,Credit Union,Martinez,718336,825393,https://www.1stnorcalcu.org,NO,,,Personal Visa (Rewards 1pt/$1) only; businesses can join but no business credit card product found,N/A,,N/A,,,,Distinct from 1st United CU (Pleasanton) in same batch,https://www.1stnorcalcu.org/,2026-06-11
EXCITE CREDIT UNION,Credit Union,San Jose,576946,615237,https://excitecu.org,YES,https://excitecu.org/personal/borrow/credit-cards/visa-business,NO (none mentioned),Visa Business Rewards: 16.24%-22.74% APR; 1% cash back; no annual/BT/cash-advance fees; limit up to $30K,SELF,Page states Excite CU issues card directly; own-domain application portal,Online,https://info.excitecu.org/credit-cards,Personal credit impacts rates (per page),,No twin found,https://excitecu.org/personal/borrow/credit-cards/visa-business,2026-06-11
Amalgamated Bank,Out-of-state bank with CA branches (SOD),New York (CA branches),397338,,https://www.amalgamatedbank.com,YES,https://www.amalgamatedbank.com/business-credit-cards,YES (0% intro APR purchases + balance transfers first 6 billing cycles),Business Mastercard via FNBO: 1.5 pts/$1; after intro 20.99%-28.49% variable; expense mgmt reports,FNBO,Apply page hosted at card.fnbo.com/mpp/fi/amalgamatedbank; "issued by First National Bank of Omaha",Online,https://www.card.fnbo.com/mpp/fi/amalgamatedbank/business/web-mc,,,Distinct from Amalgamated Bank of Chicago (separate institution; ABOC also issues cards),https://www.amalgamatedbank.com/business-credit-cards; https://www.card.fnbo.com/mpp/fi/amalgamatedbank/business/web-mc,2026-06-11
AEROSPACE FEDERAL CREDIT UNION,Credit Union,Los Angeles,326934,422785,https://www.aerofcu.org,NO,,,Personal Platinum Visa Cash Back/Rewards and Student Visa only; no business card found,N/A,,N/A,,,,No twin found,https://www.aerofcu.org/Cards/Platinum-VISA-CASH-BACK-Credit-Card,2026-06-11
SAG-AFTRA FEDERAL CREDIT UNION,Credit Union,Burbank,293663,340595,https://www.sagaftrafcu.org,NO,,,Personal Visa Classic and Visa Rewards (1% cash back) only; no business card found,N/A,,N/A,,,,No twin found,https://www.sagaftrafcu.org/loans-and-credit-cards/credit-cards,2026-06-11
CENTRAL STATE CREDIT UNION,Credit Union,Stockton,208593,255165,https://www.centralstatecu.org,NO,,,Personal CSCU Mastercards only; no business accounts or business card mentioned on site,N/A,,N/A,,,,Distinct from Central State CU (other states); confirmed Stockton CA site,https://www.centralstatecu.org/,2026-06-11
PRIORITY ONE CREDIT UNION,Credit Union,South Pasadena,179056,205737,https://www.priorityonecu.org,NO,,,Personal Visa only (as low as 12.75% APR); no business accounts or business card on site,N/A,,N/A,,,,Distinct from PriorityONE CU of Florida (priorityonefl.org),https://www.priorityonecu.org/,2026-06-11
CAMINO FEDERAL CREDIT UNION,Credit Union,Montebello,150979,179244,https://www.caminofcu.org,NO,,,Personal Visa Platinum (Rewards/Low Rate) Getting Started and Share-Secure only; no business card found,N/A,,N/A,,,,No twin found,https://www.caminofcu.org/credit-cards-rates/,2026-06-11
TULARE COUNTY FEDERAL CREDIT UNION,Credit Union,Tulare,142040,156588,https://tularefcu.org,NO,,,Personal Platinum/Classic/Student Visa only (from 11.90% APR); no business card,N/A,,N/A,,,,Distinct from Tucoemas FCU (also Tulare County),https://tularefcu.org/credit-cards,2026-06-11
INTERFAITH FEDERAL CREDIT UNION,Credit Union,Montclair,119195,135352,https://interfaithfcu.org,YES,https://interfaithfcu.org/business-visa,Not shown,Business Visa (plus a Church Visa product); requires business membership account; minimal paperwork; virtual card available,SELF,Card pages and Corporate Resolution PDF application hosted on own domain (umfcu/squarespace); no third-party markers,Call,tel:8002450433 / Lending@InterfaithFCU.org (PDF application),,"Business Visa touts ""minimal paperwork"" (unverified)",Operates CA+TN branches (merged with United Methodist FCU; go.umfcu.org),https://interfaithfcu.org/business-visa,2026-06-11
UNITED LOCAL CREDIT UNION,Credit Union,Fresno,96434,121096,https://www.unitedlocal.org,NO,,,Personal VISA only; no business accounts or business card on site,N/A,,N/A,,,,No twin found,https://www.unitedlocal.org/,2026-06-11
