Name,Type,City,State,Assets,Deposits,ibanknet_URL
TECHNOLOGY CREDIT UNION,Credit Union,San Jose,CA,4655194,3762517,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_171889
COASTHILLS FEDERAL CREDIT UNION,Credit Union,Santa Maria,CA,1765233,1489558,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_127587
FARMERS INSURANCE FEDERAL CREDIT UNION,Credit Union,Burbank,CA,1366674,1162631,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_772576
HONDA FEDERAL CREDIT UNION,Credit Union,Torrance,CA,1204193,1041171,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_453286
"Industrial and Commercial Bank of China USA, National Association",Out-of-state bank with CA branches (SOD),,,,908379,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1015560
AMERICA'S CHRISTIAN CREDIT UNION,Credit Union,Glendora,CA,818406,725964,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_773386
UNCLE CREDIT UNION,Credit Union,Livermore,CA,738043,663677,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_363693
I.L.W.U. FEDERAL CREDIT UNION,Credit Union,Long Beach,CA,601927,546856,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1875157
GLENDALE AREA SCHOOLS CREDIT UNION,Credit Union,Glendale,CA,421655,364073,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_172279
TUCOEMAS FEDERAL CREDIT UNION,Credit Union,Visalia,CA,336861,305226,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_814672
FAMILIES AND SCHOOLS TOGETHER FEDERAL CREDIT UNION,Credit Union,Hanford,CA,328114,261901,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_310585
CHAFFEY FEDERAL CREDIT UNION,Credit Union,Upland,CA,229064,201756,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_622185
SCHOOLS FEDERAL CREDIT UNION,Credit Union,Torrance,CA,192652,168328,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_935773
TORRANCE COMMUNITY FEDERAL CREDIT UNION,Credit Union,Torrance,CA,160035,147984,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_497280
SISKIYOU CREDIT UNION,Credit Union,Yreka,CA,144716,134011,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_961192
RANCHO FEDERAL CREDIT UNION,Credit Union,Downey,CA,110306,101228,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_650272
SEA AIR FEDERAL CREDIT UNION,Credit Union,Seal Beach,CA,118186,90009,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_93981
VA DESERT PACIFIC FEDERAL CREDIT UNION,Credit Union,Long Beach,CA,98985,77765,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_557577
POSTCITY FINANCIAL CREDIT UNION,Credit Union,Long Beach,CA,78185,68686,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_448590
SHELL WESTERN STATES FEDERAL CREDIT UNION,Credit Union,Martinez,CA,69331,61674,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_986878
PARISHIONERS FEDERAL CREDIT UNION,Credit Union,Torrance,CA,67162,56292,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_721480
DOW GREAT WESTERN CREDIT UNION,Credit Union,Antioch,CA,48188,45164,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_992598
CALIFORNIA ADVENTIST FEDERAL CREDIT UNION,Credit Union,Glendale,CA,46063,36824,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_518895
MEDIA CITY CREDIT UNION,Credit Union,Burbank,CA,37815,31625,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_770479
HANIN FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,31725,26978,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2353009
FRESNO GRANGERS FEDERAL CREDIT UNION,Credit Union,Fresno,CA,26954,20723,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_408370
L.A. HEALTHCARE FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,14970,13604,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_952882
COMUNIDAD LATINA FEDERAL CREDIT UNION,Credit Union,Santa Ana,CA,11186,8358,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3485514
VALLEY AGRICULTURAL FEDERAL CREDIT UNION,Credit Union,Santa Paula,CA,4755,4219,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_67384
MOJAVE PLANT EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Mojave,CA,1014,817,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_707082
