Name,Type,City,Deposits,Assets,Website,Biz_card,Card_link,Intro_0pct,Terms_note,Underwriter,UW_evidence,Apply,Apply_link,Bureau_quick,NoDoc_quick,Agreement_vs_prior,Twin_check,Source_links,Screen_date
U.S. Bank National Association,Out-of-state bank with CA branches (SOD),,114337732,,https://www.usbank.com,YES,https://www.usbank.com/business-banking/business-credit-cards/business-triple-cash-back-credit-card.html,0% intro APR purchases+BT 12 billing cycles (Triple Cash & Business Shield),Triple Cash: $0 AF; 3% gas/EV(<=$200)/office supply/cell/restaurants; $100 software credit; BT fee 5% min $5,SELF,Footer: 'U.S. Bank National Association' issues pursuant to Visa/MC license; apply routes to onboarding.usbank.com,Online,https://www.usbank.com/business-banking/business-credit-cards.html,,,"PRIOR-RICHER (live confirms 0% 12 cyc Triple Cash/Shield, $0 AF, 3% cats, self-issued, online; prior's 'up to 18 cyc in-branch' not visible on live pages)",OK - usbank.com is the genuine U.S. Bank NA site,https://www.usbank.com/business-banking/business-credit-cards.html; https://www.usbank.com/business-banking/business-credit-cards/business-triple-cash-back-credit-card.html,2026-06-11
FIRST TECHNOLOGY FEDERAL CREDIT UNION,Credit Union,San Jose,24592589,28579914,https://www.firsttechfed.com,UNCLEAR,https://www.firsttechfed.com/help/cardholder-benefits,NO (none published),Mastercard Business Credit Card benefits listed 'for existing card holders only'; no rates/AF published; site returned 503 to direct fetch - verified via Google-indexed firsttechfed.com pages,UNKNOWN,No issuer/portal disclosed for the business Mastercard; benefits page only (Mastercard Easy Savings/Receipt Mgmt boilerplate),Phone/branch (no online app for business card),,,,"LIVE-CONFIRMS (business MC exists but existing-cardholders-only, no online app, no published terms)","OK - firsttechfed.com genuine; direct fetch 503 (bot block), confirmed via search-indexed site pages",https://www.firsttechfed.com/help/cardholder-benefits; https://www.firsttechfed.com/borrow/credit-cards,2026-06-11
"HSBC Bank USA, National Association",Out-of-state bank with CA branches (SOD),,15549922,,https://www.us.hsbc.com,NO,,NO,"Commercial/corporate cards only (Corporate Card, One Card, Purchasing Card, Virtual Card) for CMB clients; no small-business credit card; no published APR/terms",SELF,"'Issued by HSBC Bank USA, N.A. and its affiliates'; subject to credit approval (corporate programs)",In-person/contact (commercial RM),https://www.business.us.hsbc.com/en/contact-hsbc,,,LIVE-CONFIRMS (commercial-only; no SMB card; prior's $100M+ revenue threshold not stated on live page - PRIOR-RICHER on that detail),OK - business.us.hsbc.com is genuine HSBC USA commercial site,https://www.business.us.hsbc.com/en/products/corporate-cards,2026-06-11
FIRST FOUNDATION BANK,Bank,Irvine,8783466,11343543,https://www.firstfoundationinc.com,UNCLEAR,https://www.firstfoundationinc.com/business-banking/business-lending/business-credit-cards,NO (none published),"Page still up but sparse: 'a number of credit card options for businesses'; no card names/terms; banner: 'First Foundation Bank is now Sunflower Bank, N.A.'",UNKNOWN,No Elan/myaccountaccess link visible on live page (prior's Elan evidence not reproducible live); merger banner to Sunflower Bank confirmed,In-person ('Contact your local branch'),,,,LIVE-CONFIRMS merger (now Sunflower Bank NA); PRIOR-RICHER on Elan attribution (no live portal link found),CAUTION - firstfoundationinc.com still live but charter merged into Sunflower Bank NA,https://www.firstfoundationinc.com/business-banking/business-lending/business-credit-cards,2026-06-11
"PNC Bank, National Association",Out-of-state bank with CA branches (SOD),,7798464,,https://www.pnc.com,YES,https://www.pnc.com/en/small-business/borrowing/business-credit-cards/pnc-visa-business-credit-card.html,0% intro APR purchases+BT 13 billing cycles (Visa Business; BT within first 90 days),"Visa Business: $0 AF, no rewards, then 16.24-26.24% var, BT fee 5%/$5; BusinessOptions: pay-in-full option, limit up to $250K; pnc.com blocked direct fetch (503) - confirmed via Google-indexed pnc.com pages + reviews",SELF,PNC-branded cards on pnc.com small-business pages; no third-party portal; apply on pnc.com,Online,https://www.pnc.com/en/small-business/borrowing/business-credit-cards.html,Soft pull Equifax reported for BusinessOptions (myFICO user reports; not official PNC language),,"LIVE-CONFIRMS (0% 13 cyc Visa Business; BusinessOptions $250K; soft-pull claim only corroborated by forum reports, not official page - PRIOR-RICHER on bureau detail)",OK - pnc.com genuine (direct fetch 503 bot-block; verified via indexed pages),https://www.pnc.com/en/small-business/borrowing/business-credit-cards/pnc-visa-business-credit-card.html; https://ficoforums.myfico.com/t5/Business-Credit/PNC-BizOptions-Visa-Signature-and-a-LOC-Approved/td-p/6589727,2026-06-11
KINECTA FEDERAL CREDIT UNION,Credit Union,Manhattan Beach,5720278,6443715,https://www.kinecta.org,YES,https://www.kinecta.org/credit-card/mypro,NO (live page: no intro APR offered),"MyPro Business MC: 13.49-18.00% purchases/BT (3% min BT fee); $0 AF; 3% office/fuel/EV, 2% travel/dining, 1% other; up to 20% relationship bonus",SELF,Kinecta FCU is issuer/servicer per own card page; no third-party portal,In-person/phone (book appointment or 800.854.9846; no online app),https://www.kinecta.org/credit-card/mypro,,,LIVE-CONTRADICTS (prior: 0% 18 cyc on BTs + 12.24-18% APR; live page now shows NO intro APR and 13.49-18.00% range; $0 AF + 3/2/1 cash back + in-person confirmed),OK - kinecta.org genuine Kinecta FCU site,https://www.kinecta.org/credit-card/mypro,2026-06-11
WESTAMERICA BANK,Bank,San Rafael,4788155,5827278,https://www.westamerica.com,YES,https://creditcardlearnmore.com/11t3/index?ecdma-lc=12109,0% intro 12 billing cycles (Business Cash Preferred); 0% 6 cycles (Business Real Rewards),Cash Preferred $0 AF; Smart Business Rewards $0 intro then $95 AF; Real Rewards $0 AF; westamerica.com itself 403-blocked direct fetch,Elan Financial Services,"Offer site discloses 'Elan Financial Services is the creditor and issuer of these Cards' (creditcardlearnmore.com lc=12109, Westamerica-branded)",Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=12109,,,LIVE-CONTRADICTS partially (prior: 0% 12-18 cycles; live Elan offer set shows max 0% 12 cycles - no 18-cycle offer; Elan + online apply + $0 AF confirmed),OK - Elan co-brand portal carries Westamerica branding at lc=12109; westamerica.com 403 bot-block,https://creditcardlearnmore.com/11t3/index?ecdma-lc=12109,2026-06-11
BANK OF STOCKTON,Bank,Stockton,3754998,4834846,https://www.bankofstockton.com,YES,https://www.mycardapply.com/synindex/?ecdma-lc=37171&ecid=OTHE_25940&offertype=0#business,UNCONFIRMED live (Elan offer page JS-rendered blank; Elan twin banks show 0% 6-12 cyc),Site: 'variety of Visa credit cards for businesses... cash back to no annual fee'; specific terms not on bank page,Elan Financial Services,Card login on bankofstockton.com points to myaccountaccess.com theme=elan1 loc=37171; apply via mycardapply.com (Elan portal),Online,https://www.mycardapply.com/synindex/?ecdma-lc=37171&ecid=OTHE_25940&offertype=0#business,,,PRIOR-RICHER (Elan + online apply confirmed live; prior's 0% 6-12 cyc and APR/AF detail not reproducible - offer page rendered blank),OK - bankofstockton.com genuine; loc=37171 matches prior Elan code,https://www.bankofstockton.com/business_credit_cards; https://www.bankofstockton.com/,2026-06-11
ROYAL BUSINESS BANK,Bank,Los Angeles,3385924,4186507,https://www.royalbusinessbankusa.com,YES,https://creditcardlearnmore.com/11t3/index?ecdma-lc=27904&ecid=OTHE_25940,0% intro 12 billing cycles (Business Cash Preferred); 0% 6 cycles (Business Real Rewards),Cash Preferred $0 AF; Smart Business Rewards $0 intro then $95 AF; Real Rewards $0 AF,Elan Financial Services,"Offer site: 'The creditor and issuer of these Cards is Elan Financial Services' (RBB-branded, lc=27904)",Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=27904&ecid=OTHE_25940,,,"LIVE-CONFIRMS (Elan, 0% 12 cyc, $0 AF, online apply)",OK - Elan portal carries Royal Business Bank branding at lc=27904,https://creditcardlearnmore.com/11t3/index?ecdma-lc=27904&ecid=OTHE_25940,2026-06-11
PREMIER AMERICA CREDIT UNION,Credit Union,Chatsworth,2934356,3313106,https://www.premieramerica.com,YES,https://www.premieramerica.com/business/loans/premier-business-mastercard,NO (no intro offer; flat 14.99% var),"Premier Business MC: 14.99% var purchases/BT; $0 AF; no late/over-limit/BT fees; newer businesses (<2 yrs profitable) get lower limits; premieramerica.com 403-blocked, verified via Google-indexed site pages",SELF,Premier America-branded card on own site; no agent-bank portal; (prior: Experian BusinessIQ app names Premier America as creditor - not re-verifiable live due to 403),Online (per prior; site 403 prevented re-check of app flow),https://www.premieramerica.com/business/loans/premier-business-mastercard,,,"LIVE-CONFIRMS (no 0%, 14.99% var, $0 AF, no late/over-limit/BT fees, self); PRIOR-RICHER on $5K-$50K limits + Experian BusinessIQ detail",OK - premieramerica.com genuine (403 bot-block on direct fetch),https://www.premieramerica.com/business/loans/premier-business-mastercard (indexed); search corroboration 2026-06-11,2026-06-11
