Name,Type,City,State,Assets,Deposits,ibanknet_URL
SAN DIEGO COUNTY CREDIT UNION,Credit Union,San Diego,CA,9382858,7569256,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_301190
FIRST ENTERTAINMENT CREDIT UNION,Credit Union,Hollywood,CA,2122096,1713776,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_425489
OPERATING ENGINEERS LOCAL UNION #3 FEDERAL CREDIT UNION,Credit Union,Livermore,CA,1650775,1402578,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_63993
PACIFIC SERVICE CREDIT UNION,Credit Union,Concord,CA,1345715,1121940,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_673299
SAFE 1 CREDIT UNION,Credit Union,Bakersfield,CA,1120422,958618,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_30098
COMMUNITY FIRST CREDIT UNION,Credit Union,Santa Rosa,CA,922089,817032,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_64897
SACRAMENTO CREDIT UNION,Credit Union,Sacramento,CA,851939,719015,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_734293
Cornerstone Community Bank,Out-of-state bank with CA branches (SOD),,,,580953,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3485420
GAIN FEDERAL CREDIT UNION,Credit Union,Burbank,CA,439329,409985,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_256571
PASADENA FEDERAL CREDIT UNION,Credit Union,Pasadena,CA,381308,329246,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_790879
STRATA FEDERAL CREDIT UNION,Credit Union,Bakersfield,CA,345954,293851,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_237776
LONG BEACH CITY EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Signal Hill,CA,279271,235285,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_386674
MERCO CREDIT UNION,Credit Union,Merced,CA,207012,179941,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_931597
COMPASS COMMUNITY CREDIT UNION,Credit Union,Eureka,CA,180859,159219,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_755999
SAN JOAQUIN POWER EMPLOYEES CREDIT UNION,Credit Union,Fresno,CA,173280,145080,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_981891
CALIFORNIA LITHUANIAN CREDIT UNION,Credit Union,Santa Monica,CA,157864,126196,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1002690
SANTA ANA FEDERAL CREDIT UNION,Credit Union,Santa Ana,CA,112516,96984,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_315898
COUNTY SCHOOLS FEDERAL CREDIT UNION,Credit Union,Ventura,CA,91466,83564,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_843083
CAL STATE L.A. FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,79905,72351,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_998581
UNIVERSAL CITY STUDIOS CREDIT UNION,Credit Union,Burbank,CA,71840,65895,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2198
ROLLING F CREDIT UNION,Credit Union,Turlock,CA,65939,58241,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_278498
MOKELUMNE FEDERAL CREDIT UNION,Credit Union,Lodi,CA,58081,48571,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_810982
L. A. ELECTRICAL WORKERS CREDIT UN. CREDIT UNION,Credit Union,Pasadena,CA,53963,44078,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_502399
BEFIT FINANCIAL FEDERAL CREDIT UNION,Credit Union,Vacaville,CA,39342,35108,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_243580
ANTIOCH COMMUNITY FEDERAL CREDIT UNION,Credit Union,Antioch,CA,34322,29187,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_809687
BAKERSFIELD CITY EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Bakersfield,CA,29354,25546,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_485979
NOVO FEDERAL CREDIT UNION,Credit Union,Norco,CA,20774,17951,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_359089
UNITED ASSOCIATION CREDIT UNION,Credit Union,Concord,CA,14328,11898,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_531296
EPISCOPAL COMMUNITY FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,6625,6036,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2242653
U.S.B. EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Wilmington,CA,3207,2571,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_376778
JONES METHODIST CHURCH CREDIT UNION,Credit Union,Burlingame,CA,257,209,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3793
