Name,Type,City,Deposits,Assets,Website,Biz_card(YES/NO/UNCLEAR),Card_link,Intro_0pct,Terms_note,Underwriter(SELF/name/UNKNOWN),UW_evidence,Apply(Online/Call/Branch/UNKNOWN),Apply_link,Bureau_quick,NoDoc_quick,Twin_check,Source_links,Screen_date
WESCOM CENTRAL CREDIT UNION,Credit Union,Pasadena,4397749,6472794,https://www.wescom.org,NO,,,Only personal cards (Knott's/Bruin Edge/MyRewards/Active Visa) listed,,,,,,,Unique name; matches Pasadena CA HQ,https://www.wescom.org/cards/credit-cards,2026-06-11
CALTECH EMPLOYEES FEDERAL CREDIT UNION,Credit Union,La Canada,1611118,2176332,https://www.caltechefcu.org,NO,,,Only consumer Platinum Mastercard; no business banking listed,,,,,,,Unique name; La Canada CA HQ matches,https://www.caltechefcu.org/home/home,2026-06-11
LOS ANGELES POLICE FEDERAL CREDIT UNION,Credit Union,Van Nuys,1265776,1402267,https://lapfcu.org,NO,,,Business checking + Business Visa DEBIT only; consumer Visa cards have 0% intro 6mo,,,,,,,Unique name; Van Nuys CA matches,https://lapfcu.org/accounts/business-accounts/; https://lapfcu.org/loans-credit/cards/credit-cards,2026-06-11
RIZE FEDERAL CREDIT UNION,Credit Union,El Monte,1060948,1309314,https://rizecu.com,YES,https://rizecu.com/business-visa/,Not mentioned,Business Visa Platinum; no annual fee; limits $5K-$50K; employee cards; rates by phone,UNKNOWN,No platform named on card page,Call,https://rizecu.com/business-inquiry/,,,Unique name (rebrand of SCE FCU); El Monte CA matches,https://rizecu.com/business-visa/,2026-06-11
VALLEY FIRST FEDERAL CREDIT UNION,Credit Union,Modesto,926404,1108042,https://www.valleyfirstcu.org,YES,https://www.valleyfirstcu.org/business-cash-back-credit-card,YES - 0% 12 mo on purchases (within 60 days of opening),1.5% cash back; then 17.49-18.00% variable; Visa,UNKNOWN,Site 403-blocked to bots; no platform confirmed,Online,https://www.valleyfirstcu.org/business-cash-back-credit-card,,,TWIN ALERT: distinct from Valley First CU (BC Canada valleyfirst.com) and Valley Bank (valley.com); CA one = valleyfirstcu.org Modesto,https://www.valleyfirstcu.org/business-cash-back-credit-card; https://www.valleyfirstcu.org/business-services,2026-06-11
MERCED SCHOOL EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Merced,795116,897525,https://www.mercedschoolcu.org,NO,,,Visa Classic/Share Secured/Student only - personal cards,,,,,,,Unique name; Merced CA matches,https://www.mercedschoolcu.org/our-products/borrowing/visa-credit-cards,2026-06-11
OCEANAIR FEDERAL CREDIT UNION,Credit Union,Oxnard,683443,870760,https://oceanair.org,NO,,,Business checking + commercial RE only; consumer Platinum Visa & Epic Rewards cards,,,,,,,Unique name (fka CBC FCU until Oct 2024); Oxnard CA matches,https://oceanair.org/business-overview/; https://oceanair.org/,2026-06-11
PACIFIC COAST BANKERS' BANK,Bank,Walnut Creek,559752,1084528,https://www.pcbb.com,NO,,,Correspondent/bankers' bank serving FIs only - no retail or business card products,,,,,,,Unique name; Walnut Creek CA matches FDIC 34252,https://www.pcbb.com/,2026-06-11
MOCSE FEDERAL CREDIT UNION,Credit Union,Modesto,396495,430486,https://mocse.org,NO,,,Business savings/checking/MMA exist but only consumer Mastercard offered,,,,,,,Unique name; Modesto CA matches,https://mocse.org/cards/credit-card/,2026-06-11
MATADORS COMMUNITY CREDIT UNION,Credit Union,Northridge,316715,359948,https://www.matadors.org,YES,https://www.matadors.org/business-credit-cards,Not stated on page,Low rate / cash back / flexible rewards options; free employee cards; expense tools,Elan,Page states creditor/issuer is Elan Financial Services,Online,https://apply.matadors.org,,,Unique name; Northridge CA matches,https://www.matadors.org/business-credit-cards,2026-06-11
DOWNEY FEDERAL CREDIT UNION,Credit Union,Downey,268047,331199,https://www.downeyfcu.org,NO,,,Consumer Platinum/Classic Visa only (0% 6mo intro on those); no business banking section,,,,,,,Unique name; Downey CA matches (distinct from defunct Downey Savings),https://www.downeyfcu.org/page.php?id=credit-cards,2026-06-11
CORAZO CREDIT UNION,Credit Union,El Centro,206427,241842,https://www.corazocu.com,UNCLEAR,,,Site 403-blocks bots; consumer cards + commercial lending mentioned but no biz card confirmed,UNKNOWN,,UNKNOWN,,,,Unique name (fka First Imperial Credit Union per trademark filing); El Centro CA matches,https://www.corazocu.com/services/card-services/; https://trademarks.justia.com/987/59/corazo-credit-98759672.html,2026-06-11
FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL,Savings Institution (Federal Savings Bank),San Rafael,176372,219992,https://ffsavings.com,YES,https://creditcardlearnmore.com/11t3/index?ecdma-lc=35173&ecid=OTHE_25940#business,Not confirmed on site (Elan-standard offers apply),Business Cards via Elan partner portal,Elan,creditcardlearnmore.com + myaccountaccess.com links on ffsavings.com,Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=35173&ecid=OTHE_25940#business,,,Several 'First Federal Savings' twins (e.g. Port Angeles WA); this one = ffsavings.com San Rafael FDIC 31406,https://ffsavings.com/,2026-06-11
SANTA CRUZ COMMUNITY CREDIT UNION,Credit Union,Santa Cruz,150260,174346,https://scccu.org,UNCLEAR,https://scccu.org/borrow/business-visa-credit-cards/,,Business Visa page exists but shows 'Coming Soon - not available yet' as of screen date; marketed as low fixed rate no annual fee,UNKNOWN,No platform named,UNKNOWN,,,,Unique name; Santa Cruz CA matches,https://scccu.org/borrow/business-visa-credit-cards/,2026-06-11
