Name,Type,City,State,Assets,Deposits,PRIOR_card,PRIOR_card_link,PRIOR_underwriter,PRIOR_apply,PRIOR_bureau,PRIOR_nodoc,PRIOR_site
CITY NATIONAL BANK,Bank,Los Angeles,CA,99947369,81067113,⚠️ Commercial only — Visa Commercial/Crystal; no 0%; $50/$400 AF; branch only,https://www.cnb.com/business-banking/lending/credit-cards/commercial.html,Self,In-person,Experian (personal Crystal card; biz N/M),PG + Personal Financial Statement + tax returns (full-doc) | fit:0,https://www.cnb.com
AXOS BANK,Savings Institution (Federal Savings Bank),San Diego,CA,28237712,22684696,⚠️ Commercial — Visa Commercial/Charge; $0 AF; consult only,https://www.axosbank.com/commercial/banking/global-treasury-management/commercial-credit-card,Unknown (eZBusiness/eZCardInfo agent platform),In-person,N/M,Financial statements + tax returns at bank discretion — NOT no-doc | fit:0,https://www.axosbank.com
"Zions Bancorporation, N.A.",Out-of-state bank with CA branches (SOD),,,,15529542,✅ AmaZing Cash/Rewards/Rate for Business: 0% 6mo; $0 AF (+$25 rewards-program fee); up to $250K limit,https://www.calbanktrust.com/business/business-credit-cards/,"Self (Zions Bancorporation, N.A.)",Online,Experian (most-cited; varies by state) ‖ v7 2026-06-11: bureau verdict [UNKNOWN] vs mentor 'BRANCH V,PG likely (INFERENCE); no tax-return requirement advertised for cards | fit:3,https://www.calbanktrust.com
REDWOOD CREDIT UNION,Credit Union,Santa Rosa,CA,9946470,8560969,"⚠️ Business Visa Platinum (Preferred/Select): $0 AF, 1pt; NO 0% intro. FULL-DOC: requires tax returns + financials",https://www.redwoodcu.org/business/cards/business-visa-platinum/,Self (Redwood Credit Union),Online,N/M,PG (INFERENCE) + tax returns + financials REQUIRED — NOT no-doc | fit:1,https://www.redwoodcu.org/business/cards/business-visa-platinum/
Umpqua Bank,Out-of-state bank with CA branches (SOD),,,,7124985,✅ Elan: Business Platinum/Zero+ 0% 18cyc; Business Real Rewards 0% 6cyc; Rewards Plus ($99); $0 AF,https://branchoffer.com/11t2/business-platinum2103,Elan,Online,"Personal, varies (Elan; EX historically / TU recently)","PG yes (Elan, INFERENCE); no tax returns | fit:3",https://www.columbiabank.com/business-banking/credit-cards/
RIVER CITY BANK,Bank,Sacramento,CA,6047747,5386542,⚠️ No consumer card (debit + commercial lending only),—,None (Sacramento entity),No,N/M,N/M (commercial loans full underwriting) | fit:0,https://rivercitybank.com
TRAVIS CREDIT UNION,Credit Union,Vacaville,CA,5687904,4734336,"✅ TCU Business Visa (sole props, 1.5% cash back, $0 AF) + Standard Business Visa (LLC/corp); NO 0% intro; 12.74-23.74%",https://www.traviscu.org/business/lending/business-visa/,Self (Travis CU),In-person,N/M (personal pull; bureau not named),PG YES (officer/owner personally obligated) | fit:2,https://www.traviscu.org/business/lending/business-visa/
"Citizens Bank, National Association",Out-of-state bank with CA branches (SOD),,,,3715621,"✅ (in footprint only) Everyday Points Business MC ($0 AF, 3x pts, 50K-pt/$5K-90d bonus); Business Platinum MC (low intro",—,Self — Citizens Bank N.A. is issuer (VERIFIED WalletHub/citizensbank.com 2026-06-10; no Elan/agent markers),Online/phone (gated),—,Standard PG app; no no-doc evidence | fit:—,https://www.citizensbank.com/small-business/business-credit-cards/overview.aspx
NUVISION FEDERAL CREDIT UNION,Credit Union,Huntington Beac,CA,3935777,3297429,✅ Business Visa Rewards: NO 0% intro; APR N/M ('low rates'); $0 AF; 1pt/$1; free employee cards,https://nuvisionfederal.com/business-banking/credit-cards,Self (Nuvision FCU),Online,N/M (agreement names EX/EQ/TU generically),PG likely (INFERENCE); no income docs stated | fit:3,https://nuvisionfederal.com/business-banking/credit-cards
BANK OF THE SIERRA,Bank,Porterville,CA,3751904,2932864,✅ 0% intro; APR N/M; $0 AF; 1.5% (Real Rewards),https://www.bankofthesierra.com/business/loans-credit-cards/business-credit-cards/,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.bankofthesierra.com
Sunwest Bank,Out-of-state bank with CA branches (SOD),,,,2421811,⚠️ Visionary Corporate Card — EXISTING Sunwest CLIENTS ONLY; no 0%; APR N/M; $0 AF; 1% cash back,https://www.sunwestbank.com/visionary-corporate-card/,Self (Torpago 'Visionary' platform + Marqeta rails; own balance sheet),In-person,N/M (cash-flow/FICO-monitor UW; bureau unpublished. Mentor 'EXP' = STALE pre-2019 Elan-era intel — a,N/M (Torpago-direct was no-PG; Sunwest agreement login-gated) | fit:2,https://www.sunwestbank.com
The Northern Trust Company,Out-of-state bank with CA branches (SOD),,,,2223820,⚠️ Private-bank clients only — Elan-issued (myFICO 2015-10-09: 'offered... by Elan Financial Services'); ~$2M relationsh,—,Elan (private-bank wrapper),In-person,TransUnion (varies EX/EQ),N/M | fit:0,https://www.northerntrust.com
LBS FINANCIAL CREDIT UNION,Credit Union,Long Beach,CA,2191341,1897558,❌ No business products at all (consumer Platinum Rewards Visa only) — the Long Beach gap CONFIRMED empty,—,None for business,No,N/M (reports to all 3; pull N/M),N/M | fit:0,https://www.lbsfcu.org
FIRST NORTHERN BANK OF DIXON,Bank,Dixon,CA,1924057,1695551,✅ 0% 12 cycles → 17.24-26.24%; $0 AF,https://creditcardlearnmore.com/11t3/index?ecdma-lc=22292&ecid=OTHE_25940,Elan,Online,Personal; varies TU/EX/EQ,"PG yes; stated income, no tax returns | fit:3",https://www.thatsmybank.com
US METRO BANK,Bank,Garden Grove,CA,1563129,1362873,❌ No card (debit only),—,None,No,N/M,N/M | fit:0,https://www.usmetrobank.com
COLUMN NATIONAL ASSOCIATION,Bank,Chico,CA,1388684,1184551,"❌ No card (BaaS sponsor bank; serves fintechs, not end-businesses)",—,None (sponsors fintech card programs; not a direct issuer to businesses),No,N/M,N/M | fit:0,https://column.com
MALAGA BANK F.S.B.,Savings Institution (Federal Savings Bank),Palos Verdes Estates,CA,1442083,940516,❌ No card (CRE thrift; debit only),—,None,No,N/M,N/M | fit:0,https://www.malagabank.com
PINNACLE BANK,Bank,Gilroy,CA,945774,823506,✅ Mastercard business (Platinum / Rewards / World); terms N/M; apply in-branch ‖ v7.6b: legacy ✅ belongs to TN/AL name-t,https://pinnacle.bank/business/financing.php/1000,TIB (The Independent BankersBank),In-person,N/M (TIB typically Experian),PG likely (TIB standard); N/M | fit:2,https://pinnacle.bank
BAC COMMUNITY BANK,Bank,Stockton,CA,780102,684849,✅ no 0% confirmed; APR N/M; $0 AF (most); 1pt/$1 or 1% (TCM),https://www.bankbac.com/business/loans-credit/business-credit-cards.html,"TCM Bank, N.A.",Online,Experian,PG likely; SBA-eligible only; no tax returns at app | fit:3,https://www.bankbac.com
