Name,Type,City,Deposits,Assets,Website,Biz_card,Card_link,Intro_0pct,Terms_note,Underwriter,UW_evidence,Apply,Apply_link,Bureau_quick,NoDoc_quick,Agreement_vs_prior,Twin_check,Source_links,Screen_date
First-Citizens Bank & Trust Company,Out-of-state bank with CA branches (SOD),,49197599,,https://www.firstcitizens.com,YES,https://www.firstcitizens.com/small-business/credit-financing/credit-cards,"YES — 0% 12mo (Low-Interest Business Visa); 0% 9mo (Rewards & Cash Rewards Business Visa), purchases + BT","Low-Interest: 0% 12mo then 13.49-22.49% var, $0 AF; Rewards/Cash Rewards: 0% 9mo then 15.49-24.49% var; BT fee 3% ($5 min); new-account only (no FCB card in prior 15mo). Site 403s to bots — terms verified via live Google results/snippets of firstcitizens.com product pages",SELF,First Citizens issues own branded Business Visas on firstcitizens.com product pages (no Elan/FNBO/TCM portal); prior self-issue finding consistent with live results,In-person,https://www.firstcitizens.com/small-business/credit-financing/credit-cards/compare,,,LIVE-CONFIRMS,"Distinct from First Citizens Community Bank (firstcitizensbank.com, PA twin) which appeared in same search — not used","https://www.firstcitizens.com/small-business/credit-financing/credit-cards; https://www.firstcitizens.com/small-business/credit-financing/credit-cards/lowest-interest",2026-06-11
THE GOLDEN 1 CREDIT UNION,Credit Union,Sacramento,19512114,21737187,https://www.golden1.com,NO,—,—,Card lineup is consumer-only: Member First (secured) / Member Cash Rewards+ / Member Rate Advantage; business services page (deposit-side) 503'd to bot but search of golden1.com shows no business card product,None (self-issues personal cards only),golden1.com/credit-cards lists only 3 personal cards; no business card page found on domain,No,—,,,LIVE-CONFIRMS,No twin issue (golden1.com unique),https://www.golden1.com/credit-cards,2026-06-11
"Pacific Premier Bank, National Association",Out-of-state bank with CA branches (SOD),,13467773,,https://www.ppbi.com (redirects to columbiabank.com/ppbi),NO,—,—,DEFUNCT confirmed live: ppbi.com/business-banking/business-services/business-credit-card.html returns 302 → columbiabank.com/ppbi; PPBI systems transitioned to Columbia Bank 2026-01-26; legacy cards continued under Columbia; successor Columbia Bank biz cards offered through Elan,None (brand retired; successor Columbia Bank = Elan),"Live 302 redirect observed; Columbia Bank biz card page discloses cards 'offered through Elan Financial Services... not FDIC insured', serviced at card.myaccountaccess.com",No,—,,,LIVE-CONFIRMS,"CAUTION twin: columbiabankonline.com = Columbia Bank (NJ), different institution from columbiabank.com (Columbia Banking System, WA) — only columbiabank.com used","https://www.columbiabank.com/ppbi; https://www.columbiabank.com/business-banking/credit-cards; https://www.columbiabank.com/columbia-bank-to-acquire-pacific-premier-bank/pacific-premier-joins-columbia/faq/",2026-06-11
PATELCO CREDIT UNION,Credit Union,Dublin,8288036,9617000,https://www.patelco.org,YES,https://www.patelco.org/business-banking/business-rewards-card,NO — no 0% intro; intro bonus instead (20k pts/$200 after $1.5K in 3mo),"Mastercard Business Rewards: 10.65-20.15% var APR; $0 AF; 1.5 pts/$1; limit up to $40K; business must be established 2+ years",SELF,"Live page: issuer = Patelco Credit Union (NCUA, NMLS #506373); no Elan/TCM/FNBO branding",Assisted,https://www.patelco.org/business-banking/business-rewards-card ('Get Started Now' / Virtual Branch),,,LIVE-CONFIRMS (live adds $40K limit detail),No twin issue,https://www.patelco.org/business-banking/business-rewards-card,2026-06-11
SMBC MANUBANK,Bank,Los Angeles,6731415,7728868,https://www.smbcmanubank.com,NO,—,—,"Business-credit-cards URL still resolves but is now a nav-only shell: NO card products, NO Elan/creditcardlearnmore/apply links anywhere on page; site nav 'Borrow' lists only loans/LOC/SBA/CRE/ABL — credit card entry removed; banner: SMBC selling Commercial Banking Unit of SMBC MANUBANK to Bank of Hope",UNKNOWN (Elan offer no longer on live site),"Full link/heading dump of live page (2 fetches): zero credit-card content; prior Elan 0% 18mo offer not present",No,—,,,"LIVE-CONTRADICTS (prior: Elan biz cards 0% 18mo → live: card content stripped from site amid Bank of Hope sale; product appears withdrawn)",No twin issue (formerly Manufacturers Bank),https://www.smbcmanubank.com/business-and-commercial/borrow/business-lending/business-credit-cards,2026-06-11
FARMERS & MERCHANTS BANK OF CENTRAL CALIFORNIA,Bank,Lodi,5120775,5836466,https://www.fmbonline.com,YES,https://www.fmbonline.com/loans/credit-cards/business-credit-cards.html,NO — no intro APR mentioned on live page,Visa Business Credit Card w/ Simply Rewards: 3x grocery/discount/gas/restaurant + 1x other; APR 'competitive' (not published); AF not disclosed; free employee cards,"UMB Bank, N.A.",Live page verbatim: 'Cards issued by UMB Bank n.a.',Form,https://www.fmbonline.com/applications/request-info.html?page=263088 ('Request Info' web form),,,"LIVE-CONFIRMS (apply nuance: live shows Request-Info web form, not strictly in-person)",No twin issue (fmbonline.com = F&M Bank Lodi CA; distinct from other 'F&M' banks — verified card page is on fmbonline.com),https://www.fmbonline.com/loans/credit-cards/business-credit-cards.html,2026-06-11
CTBC BANK CORP. (USA),Bank,Los Angeles,4546301,5369932,https://www.ctbcbankusa.com,NO,—,—,Live site nav: only 'Consumer Credit Cards' under Personal Banking > Lending Solutions; business sections (checking/savings/loans/treasury) list NO credit card,None for business,Live homepage/nav crawl: no business card product; consumer cards only (prior attributed consumer cards to TCM — issuer not named on live page),No,—,,,LIVE-CONFIRMS (business NO; live page does not name TCM for consumer cards — minor PRIOR-RICHER on consumer issuer),No twin issue (ctbcbankusa.com = CTBC Bank Corp USA; distinct from CTBC Taiwan parent sites),https://www.ctbcbankusa.com,2026-06-11
VALLEY STRONG CREDIT UNION,Credit Union,Bakersfield,3642703,4074429,https://www.valleystrong.com,YES,https://www.valleystrong.com/business-platinum-credit-card,NO — no 0% intro mentioned for business cards,"Business Platinum: $0 AF, 'high spending limits', zero-liability, expense tools; Business Rewards: 1% cash back every purchase, $0 AF; APRs not published on marketing pages. Site 403s bots — verified via live Google results of valleystrong.com pages",SELF (prior CFPB-agreement evidence; nothing live contradicts),Cards hosted/branded on own domain (business-platinum-credit-card + business-rewards-credit-card pages); no Elan/TCM/FNBO portal seen; prior: CFPB agreement DB lists Valley Strong as issuer,Online,https://www.valleystrong.com/business-rewards-credit-card,,,LIVE-CONFIRMS,No twin issue,https://www.valleystrong.com/business-platinum-credit-card; https://www.valleystrong.com/business-rewards-credit-card,2026-06-11
First Bank,Out-of-state bank with CA branches (SOD),,3168933,,https://www.first.bank,YES,https://www.first.bank/Business/Bank/Business-Credit-Cards,UNCLEAR — first.bank 503s to bots; no 0% intro surfaced in live search results (prior: terms N/M),"Live products confirmed: Business Platinum Rewards Mastercard (unlimited 1% cash back) + World Elite Mastercard; rewards portal firstbank.myapexcard.com (CorServ Apex platform, also 403s bots); 'subject to credit approval'",SELF (CorServ Apex platform),firstbank.myapexcard.com live (CorServ Apex agent platform; bank-issued program); business card pages on first.bank confirmed via live search,Online,https://www.first.bank/Business/Bank/Business-Credit-Cards,,,LIVE-CONFIRMS (live surfaced 2 card names vs prior's 4 — Low Rate/Business Platinum not re-sighted; site blocked deeper check),"CAUTION twins in results: localfirstbank.com = First Bank (NC) and firstbank.com = FirstBank (CO/TN) — different banks; only first.bank (MO, St. Louis) used","https://www.first.bank/Business/Bank/Business-Credit-Cards; https://firstbank.myapexcard.com; https://www.first.bank/Business/Bank/Business-Credit-Cards/Business-Platinum-Rewards-Mastercard",2026-06-11
EXCHANGE BANK,Bank,Santa Rosa,2837604,3266467,https://www.exchangebank.com,YES,https://www.exchangebank.com/business/credit-cards,YES — 0% 12 billing cycles (Business Cash Preferred); 0% 6 cycles (Business Real Rewards),"Business Cash Preferred: 0% 12 cycles then 17.24-26.24% var, $0 AF; Business Real Rewards: 0% 6 cycles then 17.24-26.24%, $0 AF; Smart Business Rewards: no 0%, 18.24-25.24%, $0 intro AF then $95",Elan Financial Services,"Live verbatim on exchangebank.com: 'The creditor and issuer of these cards is Elan Financial Services, pursuant to separate licenses from Visa U.S.A. Inc., and Mastercard International Incorporated'; servicing at myaccountaccess.com",Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=02912&ecid=OTHE_25940#business,,,LIVE-CONFIRMS (0% 12 cycles + 17.24-26.24% + $0 AF all re-verified live),No twin issue (exchangebank.com Santa Rosa CA verified; distinct from Exchange Bank OK/GA),https://www.exchangebank.com/business/credit-cards; https://creditcardlearnmore.com/11t3/index?ecdma-lc=02912&ecid=OTHE_25940#business,2026-06-11
