Name,Type,City,Deposits,Assets,Website,Biz_card(YES/NO/UNCLEAR),Card_link,Intro_0pct,Terms_note,Underwriter(SELF/name/UNKNOWN),UW_evidence,Apply(Online/Call/Branch/UNKNOWN),Apply_link,Bureau_quick,NoDoc_quick,Twin_check,Source_links,Screen_date
"JPMorgan Chase Bank, National Association",Out-of-state bank with CA branches (SOD),,287153152,,https://www.chase.com,YES,https://creditcards.chase.com/business-credit-cards,Yes - 12 mo on purchases (Ink Unlimited & Ink Cash),Ink Unlimited/Cash $0 AF + 0% 12mo; Ink Preferred $95; Ink Premier $195,SELF,Chase is the issuer on its own chase.com domain; cards branded Ink by Chase,Online,https://creditcards.chase.com/business-credit-cards,,,Major national bank - matches SOD CA-branch entry,https://creditcards.chase.com/business-credit-cards,2026-06-11
"Mizrahi Tefahot Bank, Ltd.",Out-of-state bank with CA branches (SOD),,3309713,,https://www.umtbusa.com,NO,,,Commercial lending/CRE/tech banking only - no card products on US site,,,,,,,US branch (UMTB USA) is the LA Downtown Financial District branch per About page; matches SOD entry,https://www.umtbusa.com/ | https://www.umtbusa.com/About-Us,2026-06-11
SAN FRANCISCO FIRE CREDIT UNION,Credit Union,San Francisco,1454032,1604300,https://sffirecu.org,YES,https://sffirecu.org/business/business-platinum-visa/,Not stated,$0 AF; $0 cash advance fee; no BT fee; no foreign transaction fee; APR not shown on page,SELF,Card presented as issued by SF Fire CU on own domain; no Elan/TCM/third-party markers on card page,Call/Branch,,,,Site is SF Fire CU at 3201 California St San Francisco CA - matches CSV,https://sffirecu.org/ | https://sffirecu.org/business/business-platinum-visa/,2026-06-11
NOBLE FEDERAL CREDIT UNION,Credit Union,Fresno,1139517,1494031,https://www.noblecu.com,NO,,,Consumer cards only (MyRewards Platinum Visa / Share Secured Visa) in Credit Cards & Loans nav; business banking login exists but no business card in nav or sitemap,,,,,,,Site is Noble Credit Union Fresno CA (559 area code; PO Box Fresno 93747) - matches CSV,https://www.noblecu.com/ | https://www.noblecu.com/site/sitemap/,2026-06-11
BLUPEAK CREDIT UNION,Credit Union,San Diego,1031025,1128147,https://www.blupeak.com,YES,https://www.blupeak.com/credit-cards/,Not stated,Business card options: low rate / cash back / flexible rewards; APR-AF not shown on page,Elan,'The creditor and issuer of these cards is Elan Financial Services' on card page,Online,https://www.blupeak.com/credit-cards/ (Log In and Apply button),,,Site serves San Diego county CA; SD HQ per Yelp 9375 Russell Ln - matches CSV,https://www.blupeak.com/credit-cards/,2026-06-11
ALTAONE FEDERAL CREDIT UNION,Credit Union,Ridgecrest,880101,974029,https://altaone.org,YES,https://altaone.org/business-lending,Not stated,Visa Business Platinum Rewards; limits up to $50000; no annual fee; 'low rate' (APR not shown); eLevate Rewards,UNKNOWN,Issuer not identified on business lending page; no Elan/TCM markers seen,Branch,https://altaone.org/business-lending (inquiry form),,,Ridgecrest CA HQ confirmed via search (701 S China Lake Blvd) - matches CSV,https://altaone.org/ | https://altaone.org/business-lending,2026-06-11
THE FIRST FINANCIAL FEDERAL CREDIT UNION,Credit Union,Pasadena,725371,746456,https://www.ffcu.org,NO,,,Consumer Visa Platinum only (fixed APR from 11.90%); no business banking section,,,,,,,Twin alert resolved: firstfinancial.org=MD and firstffcu.com=NJ name-twins; correct site ffcu.org = Pasadena CA SoCal educators CU since 1933 - matches CSV,https://www.ffcu.org/,2026-06-11
USC CREDIT UNION,Credit Union,Los Angeles,631164,719189,https://www.usccreditunion.org,YES,https://www.usccreditunion.org/business-banking/,Not stated,Business Mastercard referenced on business banking page; no annual fee; no foreign transaction fee; APR not shown; dedicated card page 404s,SELF,Issuer shown as USC Credit Union; app runs on CUDL/Lending360 (internetloanapplication.cudl.com/usccu) = CU's own underwriting rails; no Elan/TCM markers,Online,https://internetloanapplication.cudl.com/usccu/,,,USC CU Los Angeles CA (University of Southern California) - matches CSV,https://www.usccreditunion.org/business-banking/ | https://www.usccreditunion.org/credit-cards/,2026-06-11
COMMONWEALTH CENTRAL CREDIT UNION,Credit Union,San Jose,533064,626858,https://www.wealthcu.org,UNCLEAR,https://www.wealthcu.org/visa-credit-cards,Not stated,Three consumer Visa Platinum cards (Passport/Cash Back/Secured); search snippets say cards available to sole proprietors only - no dedicated business card line; site blocked direct fetch (403),UNKNOWN,Card pages not fetchable (403); no issuer markers seen in search results,UNKNOWN,,,,Site wealthcu.org = CommonWealth Central CU San Jose CA (5890 Silver Creek Valley Rd) - matches CSV,https://www.wealthcu.org/visa-credit-cards | https://www.creditunionsonline.com/credit-union-169.html,2026-06-11
POPA FEDERAL CREDIT UNION,Credit Union,Cerritos,355946,399420,https://www.popafcu.org,NO,,,Consumer Visa cards only (11.75%-18.00% APR range); no business accounts or business card in nav,,,,,,,popafcu.org contact page lists Cerritos CA HQ (13304 E Alondra Blvd per Yelp/search) - matches CSV,https://www.popafcu.org/ | https://www.popafcu.org/about-us/about-us/contact,2026-06-11
SEA WEST COAST GUARD FEDERAL CREDIT UNION,Credit Union,Oakland,304015,381797,https://www.seawest.coop,NO,,,Consumer Visa only (5.99% life-of-balance BT offer); no business accounts/cards on site,,,,,,,seawest.coop mailing address PO Box 4949 Oakland CA 94605 (branches Alameda/Petaluma) - matches CSV,https://www.seawest.coop/ | https://seawest.coop/visa-credit-cards,2026-06-11
EDWARDS FEDERAL CREDIT UNION,Credit Union,Edwards,255937,278913,https://www.edwardsfcu.org,NO,,,Consumer-only Visa Platinum/Platinum Rewards (CURewards redemption); card page lives under /borrow/consumer/; no business card found,,,,,,,edwardsfcu.org = Edwards CA (Edwards AFB; Lancaster-area branches; 661 area code) - matches CSV,https://www.edwardsfcu.org/borrow/consumer/visa-credit-card/,2026-06-11
CLEARPATH FEDERAL CREDIT UNION,Credit Union,Burbank,200222,224391,https://www.clearpathfcu.org,NO,,,Consumer Visa only (Platinum 8.90-17.90%; Checking Visa 17.90% $50 AF; Share Secured); no business card in rate disclosure,,,,,,,clearpathfcu.org = Burbank CA HQ 300 E Magnolia Blvd Ste 401 - matches CSV,https://www.clearpathfcu.org/creditcardrates.html,2026-06-11
"SoFi Bank, National Association",Out-of-state bank with CA branches (SOD),,167233,,https://www.sofi.com,NO,,,SoFi issues consumer cards only (Unlimited 2% / Everyday Cash Rewards / Essential); sofi.com/small-business-credit-cards/ is a third-party comparison marketplace (CardRatings/QuinStreet) - SoFi does not issue a business card,,,,,,,SoFi Bank NA national digital bank - matches SOD CA-branch entry,https://www.sofi.com/small-business-credit-cards/ | https://www.sofi.com/credit-card/,2026-06-11
SOUTH BAY CREDIT UNION,Credit Union,Redondo Beach,146169,164333,https://www.southbaycu.com,NO,,,Business accounts exist but only personal Visa cards (no AF; limits to ~$20-25K; no business card on credit cards page),,,,,,,southbaycu.com HQ 312 N Pacific Coast Hwy Redondo Beach CA 90277 - matches CSV,https://www.southbaycu.com/borrow/credit-cards/ | https://www.southbaycu.com/,2026-06-11
EAST COUNTY SCHOOLS FEDERAL CREDIT UNION,Credit Union,El Cajon,132714,147542,https://www.eastcountyschools.org,NO,,,Consumer Visa cards only; school-employee SEG; no business accounts on site,,,,,,,eastcountyschools.org HQ 1069 Graves Ave Ste 100 El Cajon CA - matches CSV,https://www.eastcountyschools.org/,2026-06-11
KAIPERM FEDERAL CREDIT UNION,Credit Union,Walnut Creek,99122,108993,https://www.kaipermcu.org,NO,,,Consumer Visa cards only (low rate + cash back; no AF); Kaiser Permanente employee SEG; no business products found in nav or site search,,,,,,,kaipermcu.org = Kaiperm CU Walnut Creek CA (1550 Newell Ave) - matches CSV; note distinct from KaiPerm NW (Portland),https://www.kaipermcu.org/loans/visa-credit-cards/,2026-06-11
GLENDALE FEDERAL CREDIT UNION,Credit Union,Glendale,89561,102411,https://www.glendalefcu.org,NO,,,Single consumer Mastercard (as low as 9.95% APR; no AF; no BT fee); no business card or business accounts on site,,,,,,,glendalefcu.org serves Glendale/Culver City/LA CA (818 phone) - matches CSV; distinct from Glendale Area Schools CU,https://www.glendalefcu.org/loans-credit/credit-cards.html,2026-06-11
