Rank,Institution,Type,City,Deposits,Biz card?,Underwriter,0% intro,Terms,No-doc (quick),Apply,Card link,Why on list
2,"Wells Fargo Bank, National Association",Out-of-state bank with CA branches (SOD),Sioux Falls,299560094,YES,SELF,⭐ 0% 12 months (purchases),$0 AF; 2% unlimited cash rewards; 16.74-24.74% var after intro; $500 bonus @ $5K/3mo,Not visible,Online (also branch by appt),https://creditcards.wellsfargo.com/business-credit-cards/signify-business-cash-credit-card/,SELF-underwritten + 0% intro
5,CITY NATIONAL BANK,Bank,Los Angeles,81067113,YES,SELF,NO,Visa Commercial Card; commercial-only (no small-biz card); rewards points; AF not shown on page,—,Contact-form/banker,https://www.cnb.com/business-banking/lending/credit-cards/commercial.html,SELF-underwritten
9,BMO Bank National Association,Out-of-state bank with CA branches (SOD),Chicago,35458327,YES,SELF,⭐ 0% 18 mo purchases+BT (Business Platinum),$0 AF; 12.74-21.74% var after intro; Business Platinum Rewards variant also offered,not visible live,Online,https://www.bmo.com/en-us/main/business-banking/credit-cards/platinum/,SELF-underwritten + 0% intro
16,MECHANICS BANK,Bank,Walnut Creek,18251541,YES,Elan,⭐ 0% 12 billing cycles (Cash Preferred; purchases+BT); 0% 6 cycles (Real Rewards),Cash Preferred: 17.24-26.24% after intro $0 AF 3% gas/EV/cell/office/dining; Smart Business Rewards $0 intro then $95 AF; Real Rewards 1.5X $0 AF,not visible live,Online,https://www.mymechanics.com/business/loans-credit/business-credit-cards/,0% intro
24,"CITIZENS BUSINESS BANK, NATIONAL ASSOCIATION",Bank,Ontario,12002449,YES,Elan,Not shown on bank page (prior via Elan offer page: 0% 12 cycles -> 17.24-26.24%),Mastercard Business Card via Elan (rewards/cash back/balance paydown options) + One Card commercial; terms not on bank site,⭐ Not visible live (prior: PG yes; no tax returns <$25K),Online,https://www.cbbank.com/banking/credit-debit-commercial-cards/,low/no-doc language
28,TRI COUNTIES BANK,Bank,Chico,8408678,YES,SELF,NO (no 0% intro on live page),"Visa Business / Business Platinum (1.5% cash back, $0 AF) / Commercial / Purchasing / Fleet; APR N/M",—,Branch/banker,https://www.tcbk.com/business/credit-cards,SELF-underwritten
33,"PNC Bank, National Association",Out-of-state bank with CA branches (SOD),Wilmington,7798464,YES,SELF,⭐ 0% intro APR purchases+BT 13 billing cycles (Visa Business; BT within first 90 days),"⭐ Visa Business: $0 AF, no rewards, then 16.24-26.24% var, BT fee 5%/$5; BusinessOptions: pay-in-full option, limit up to $250K; pnc.com blocked direct fetch (503) - confirmed via Google-indexed pnc.com pages + reviews",—,Online,https://www.pnc.com/en/small-business/borrowing/business-credit-cards/pnc-visa-business-credit-card.html,SELF-underwritten + 0% intro + $20K+ stated limit
36,HANMI BANK,Bank,Los Angeles,6801918,YES,Elan,⭐ YES — Business Zero+ 0% up to 18 billing cycles (purch+BT); Business Real Rewards 0% 6 cycles,"4 Elan cards: Zero+, Real Rewards, Cash Preferred, Smart Business Rewards; AF not on page; note: a Google snippet for same URL cites World/World Elite issued by Fifth Third (possible newer commercial program) but live page shows Elan lineup",—,Online,https://www.hanmi.com/business/business-credit-cards/,0% intro
43,FREMONT BANK,Bank,Fremont,5269655,YES,SELF,⭐ YES — 0% 6 months purchases+BT (Business Platinum),"Business Platinum: 0% 6mo then 12.49-20.49% var, $0 AF any year, 3%/$10 BT fee; also Platinum Low Rate (Prime+2.99), Platinum Rewards, World Elite; customers only",—,Online,https://www.fremontbank.com/business/credit/platinum-credit-card,SELF-underwritten + 0% intro
48,WESTAMERICA BANK,Bank,San Rafael,4788155,YES,Elan,⭐ 0% intro 12 billing cycles (Business Cash Preferred); 0% 6 cycles (Business Real Rewards),Cash Preferred $0 AF; Smart Business Rewards $0 intro then $95 AF; Real Rewards $0 AF; westamerica.com itself 403-blocked direct fetch,—,Online,https://creditcardlearnmore.com/11t3/index?ecdma-lc=12109,0% intro
55,SAFE CREDIT UNION,Credit Union,Folsom,3990691,YES,SELF,⭐ YES — 0% APR first 12 billing cycles on balance transfers (BT promo only; purchases at standard APR),SAFE Visa Business: $0 AF; no BT/cash-advance fees; rewards on business spend; variable APR after promo (range not shown live; prior 13.40-19.40%),Not visible live (prior: explicit PG + financials on request),Appointment (Schedule Appointment button; no online app),https://www.safecu.org/business/grow-your-business/visa-business,SELF-underwritten + 0% intro
60,"Citizens Bank, National Association",Out-of-state bank with CA branches (SOD),Providence,3715621,YES,SELF,UNCLEAR,Everyday Points Business MC: $0 AF; 50K-pt/$5K-90d bonus; 2pts(~1.5%); business products offered in CT/DE/FL/MD/MA/MI/NH/NJ/NY/OH/PA/RI/VT/VA/DC — CA NOT in footprint list; citizensbank.com 403-blocked to bots,—,Online (footprint-gated),https://www.citizensbank.com/small-business/business-credit-cards/everyday-points.aspx,SELF-underwritten
63,BANK OF MARIN,Bank,Novato,3458796,YES,Elan,⭐ 0% 12 cycles (Cash Preferred) / 6 cycles (Real Rewards) — standard Elan suite; per-card terms behind learnmore link,Low rate/cash back/flexible rewards Elan suite; free employee cards; expense tools; bank page shows no APR/AF detail,not visible live,Online,https://www.bankofmarin.com/products-and-services/credit-cards/,0% intro
68,NUVISION FEDERAL CREDIT UNION,Credit Union,Huntington Beac,3297429,YES,SELF,NO,Business Visa Rewards: $0 AF; 1pt/$1; free employee cards; purchase protection $10K; APR not published (call business specialist); no 0% intro shown,—,Online (also fax/branch form),https://nuvisionfederal.com/business-banking/credit-cards,SELF-underwritten
72,"Flagstar Bank, National Association",Out-of-state bank with CA branches (SOD),Hicksville,3126219,YES,FNBO,⭐ YES — 0% intro 18 billing cycles (standard Business Edition Visa) / 0% 12 cycles (Absolute Rewards version) on purchases + BTs,3 Business Edition Visa cards incl. secured (Maximum Rewards); $0 AF on all; apply online at card.fnbo.com,Not visible live (prior: PG typical for FNBO),Online,https://card.fnbo.com/mpp/fi/flagstar/business/web-visa,0% intro
77,PCB BANK,Bank,Los Angeles,2898675,YES,Elan,⭐ PRIOR: 0% 12 cycles -> 17.24-26.24% (Elan storefront creditcardlearnmore.com fetch-blocked; not re-verified live),"Elan biz lineup (low rate / cash back / flexible rewards); free expense reporting, free employee cards",—,Online,https://www.mypcbbank.com/business/business-credit-cards,0% intro
80,ORANGE COUNTY'S FEDERAL CREDIT UNION,Credit Union,Santa Ana,2584116,YES,SELF,Not shown (no intro offer found live),"Business Mastercard exists but is low-visibility: NOT listed on live business-services page (only checking/savings/MMA/CDs/vehicle/CRE); confirmed via own FAQ/disclosure PDFs + Business MC payment address PO Box 11777 Santa Ana; Platinum APR ~16.74-18.00%, $0 AF (consumer disclosure)",Not visible live,Branch/phone (no online business-card app found),https://www.orangecountyscu.org/products/credit-cards/,SELF-underwritten
85,ALTURA FEDERAL CREDIT UNION,Credit Union,Riverside,2386844,YES,SELF,NO — no intro rate mentioned on live page,⭐ Business Platinum: $0 AF; APR not published ('competitive interest rates'); limit up to $25K OAC; no BT fee; no cash advance fee; LLC NOT required (verbatim: 'You are not required to have an LLC to get a business credit card'); freelancers/online sellers eligible,—,In-person,https://www.alturacu.com/business-credit-card/,SELF-underwritten + $20K+ stated limit
91,FIREFIGHTERS FIRST FEDERAL CREDIT UNION,Credit Union,Los Angeles,2221334,YES,SELF,NO (no 0% intro found),"Business Platinum Visa, 1% cashback; business membership required; APR 10.75-18.00% var per prior (not re-shown; domain fetch-blocked, verified via search snippets)",NO — FULL-DOC: current business income statement + business federal tax returns required (live snippet),Email/phone (800-231-1626); business membership prereq,https://www.firefightersfirstcu.org/Business/Business-Loans/Business-Credit-Cards,SELF-underwritten
98,MONTECITO BANK & TRUST,Bank,Santa Barbara,1793788,YES,SELF,NO (no 0% intro on live page),Business Visa: 16.49-24.49% var; $0 AF; 1pt/$1 = 1% auto cash back; $250 statement credit after $5K/90d (offer thru 6/30/2026),—,Assisted (appointment/banker),https://montecito.bank/business/credit-card,SELF-underwritten
