Name,Type,City,State,Assets,Deposits,PRIOR_card,PRIOR_card_link,PRIOR_underwriter,PRIOR_apply,PRIOR_bureau,PRIOR_nodoc,PRIOR_site
BMO Bank National Association,Out-of-state bank with CA branches (SOD),,,,35458327,"✅ Business Platinum: 0% 18 mo, $0 AF; Business Platinum Rewards: 0% 9mo, tiered 5/4/3/2%",https://www.bmo.com/en-us/main/business-banking/credit-cards/platinum/,Self (BMO Bank NA; ex-Bank of the West),Online,TransUnion (varies) ‖ v7 2026-06-11: bureau verdict [COMMUNITY-DP] vs mentor 'TransUnion' = AGREES. ,PG yes (INFERENCE); no income docs typical | fit:3,https://www.bmo.com/en-us/main/business-banking/credit-cards/
MECHANICS BANK,Bank,Walnut Creek,CA,21403986,18251541,✅ 0% 12 cycles → 17.24-26.24%; $0 AF; 3% gas/dining/office/cell,https://creditcardlearnmore.com/11t3/index?ecdma-lc=23692&ecid=OTHE_25940,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.mymechanics.com
"BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION",Bank,San Francisco,CA,15126000,12639000,❌ No card (subsidiary shell; parent BofA issues),—,None (parent self-issues),No,N/M,N/M | fit:0,https://www.bankofamerica.com
STAR ONE CREDIT UNION,Credit Union,Sunnyvale,CA,9584478,8244608,"❌ No business card (consumer-only; sole-prop deposits only, no corp/LLC accounts)",—,None (self-issues consumer cards),No,N/M,N/M | fit:0,https://www.starone.org/borrow/credit-cards
PREFERRED BANK,Bank,Los Angeles,CA,7655086,6432233,✅ 0% 12 cycles → 17.24-26.24%; $0 AF,https://creditcardlearnmore.com/11t3/index?ecdma-lc=25483&ecid=OTHE_25940#business,"Elan ‖ v7.6: Elan CONFIRMED VERBATIM 2026-06-11 — preferredbank.com/business/loans-and-credit/credit-cards: ""The credito",Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.preferredbank.com
CALIFORNIA FEDERAL CREDIT UNION,Credit Union,Glendale,CA,5413638,4866121,✅ no 0%; 8.25–15.25% (site; fn 2021); $0 AF; Platinum (low-rate) + Rewards (1%),https://www.ccu.com/business/loans/business-credit-cards,Self (CCU is creditor per agreement; MeridianLink = processor),In-person,Experian (CU-answered myFICO Q&A 2025-08-21; mentor said EQ — only one 2020 EQ DP) ‖ v7 2026-06-11: ,PG yes (guarantor offset clause) + financials/tax-returns-on-request covenant | fit:2,https://www.ccu.com
FIVE STAR BANK,Bank,Roseville,CA,5031561,4480237,⚠️ Commercial — CorServ Mastercard; terms N/M; no public apply,https://www.fivestarbank.com/credit-cards,Self (CorServ platform),In-person,N/M,PG likely; docs likely (commercial) | fit:0,https://www.fivestarbank.com
BANK OF MARIN,Bank,Novato,CA,3913468,3458796,✅ 0% 6-12 cycles; $0/$50 AF,https://www.bankofmarin.com/products-and-services/credit-cards/,Elan,Online,TransUnion-lean in CA (DoC TU:9/EX:5/EQ:1),PG yes; no tax returns (<$25K) | fit:3,https://www.bankofmarin.com
COMMUNITY WEST BANK,Bank,Fresno,CA,3697225,3147540,✅ no 0%; ~19.5% (Prime+10.99%); $0/$49 AF,https://www.cardaccount.net/application/f87a3255c0/business/new,TIB ‖ v6 2026-06-10: v6 screen attributes the cardaccount.net business-app rail to TCM Bank N.A. (ICBA) (INFERRED from d,Online,Experian,PG yes; financials required $10K+ (sub-$10K light-doc) | fit:3,https://www.communitywestbank.com
Banner Bank,Out-of-state bank with CA branches (SOD),,,,2610504,"✅ Business Platinum Mastercard: 0% 12mo, $0 AF; Business Cash Rewards; + commercial",https://www.bannerbank.com/business-solutions/services/small-business-credit-card/business-platinum-mastercard,Self (Banner Bank),In-person,"N/M public — mentor DP (2026-06, unverified): TransUnion ‖ v7 2026-06-11: bureau verdict [MENTOR-ONL",PG YES (joint & several) + full underwriting (Tax ID + gross revenue + guarantor SSN/income/net wort,https://www.bannerbank.com/business-solutions/services/small-business-credit-card
