Name,Type,City,State,Assets,Deposits,ibanknet_URL
Washington Federal Bank,Out-of-state bank with CA branches (SOD),,,,3886981,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_656377
NORTHROP GRUMMAN FEDERAL CREDIT UNION,Credit Union,Gardena,CA,1653498,1492015,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_619194
SAN FRANCISCO FEDERAL CREDIT UNION,Credit Union,San Francisco,CA,1582268,1194502,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_642594
UNITED SECURITY BANK,Bank,Fresno,CA,1216537,1059462,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1162017
MIRASTAR FEDERAL CREDIT UNION,Credit Union,San Jose,CA,1036195,914626,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_438797
SKYONE FEDERAL CREDIT UNION,Credit Union,Hawthorne,CA,875824,731080,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1017087
FOOTHILL FEDERAL CREDIT UNION,Credit Union,Arcadia,CA,772237,668508,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_333182
PREMIER ONE CREDIT UNION,Credit Union,San Jose,CA,656413,558082,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_197384
EAGLE COMMUNITY CREDIT UNION,Credit Union,Lake Forest,CA,411441,365601,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_610294
MONTEREY CREDIT UNION,Credit Union,Monterey,CA,356957,316246,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_940188
SANTA BARBARA TEACHERS FEDERAL CREDIT UNION,Credit Union,Santa Barbara,CA,309564,266368,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_192679
SRI FEDERAL CREDIT UNION,Credit Union,Menlo Park,CA,242087,201855,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_702386
Safra National Bank of New York,Out-of-state bank with CA branches (SOD),,,,173127,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_918918
VIDA FEDERAL CREDIT UNION,Credit Union,Ontario,CA,172659,148667,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_6486
KINGS FEDERAL CREDIT UNION,Credit Union,Hanford,CA,162876,136536,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_852487
SMW 104 FEDERAL CREDIT UNION,Credit Union,Livermore,CA,116776,101569,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_931289
MARIN COUNTY FEDERAL CREDIT UNION,Credit Union,San Rafael,CA,102202,90246,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_472483
DESERT VALLEYS FEDERAL CREDIT UNION,Credit Union,Ridgecrest,CA,89436,80183,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_544773
BAY CITIES CREDIT UNION,Credit Union,Hayward,CA,78848,68941,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_503190
POLAM FEDERAL CREDIT UNION,Credit Union,Redwood City,CA,73625,63342,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_488484
SANTA BARBARA COUNTY FEDERAL CREDIT UNION,Credit Union,Santa Barbara,CA,64748,56299,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_751889
JACOM CREDIT UNION,Credit Union,Los Angeles,CA,54866,46656,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_713391
FRESNO POLICE DEPARTMENT CREDIT UNION,Credit Union,Fresno,CA,50082,38001,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_934990
Citizens National Bank of Texas,Out-of-state bank with CA branches (SOD),,,,33108,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_552161
SAN MATEO CITY EMPLOYEES FEDERAL CREDIT UNION,Credit Union,San Mateo,CA,33330,27458,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_10885
CENTER CITY COMMUNITY CREDIT UNION,Credit Union,Buena Park,CA,25267,22405,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_688592
MID-CITIES CREDIT UNION,Credit Union,Compton,CA,16279,14926,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_195090
NORTHEAST COMMUNITY FEDERAL CREDIT UNION,Credit Union,San Francisco,CA,15791,10355,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_848592
SANTA MARIA ASSOCIATED EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Santa Maria,CA,4918,4464,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_557380
MARYKNOLL OF L A FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,1152,1019,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_184786
"LendingClub Bank, National Association",Out-of-state bank with CA branches (SOD),,,,0,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_264772
