Name,Type,City,State,Assets,Deposits,ibanknet_URL
CHEVRON FEDERAL CREDIT UNION,Credit Union,Concord,CA,5440107,4770863,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_414894
MONTERRA CREDIT UNION,Credit Union,Redwood City,CA,1920135,1654172,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_996091
SIERRA CENTRAL CREDIT UNION,Credit Union,Yuba City,CA,1496982,1339334,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_581992
1ST UNITED CREDIT UNION,Credit Union,Pleasanton,CA,1253077,1099282,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_40190
THE POLICE CREDIT UNION,Credit Union,San Bruno,CA,1054903,936056,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_388490
SUN COMMUNITY FEDERAL CREDIT UNION,Credit Union,El Centro,CA,896541,806837,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_348485
1ST NORTHERN CALIFORNIA CREDIT UNION,Credit Union,Martinez,CA,825393,718336,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_11387
EXCITE CREDIT UNION,Credit Union,San Jose,CA,615237,576946,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_550288
Amalgamated Bank,Out-of-state bank with CA branches (SOD),,,,397338,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_661308
AEROSPACE FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,422785,326934,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_792284
SAG-AFTRA FEDERAL CREDIT UNION,Credit Union,Burbank,CA,340595,293663,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_141985
CENTRAL STATE CREDIT UNION,Credit Union,Stockton,CA,255165,208593,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_82499
PRIORITY ONE CREDIT UNION,Credit Union,South Pasadena,CA,205737,179056,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_605599
CAMINO FEDERAL CREDIT UNION,Credit Union,Montebello,CA,179244,150979,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_209278
TULARE COUNTY FEDERAL CREDIT UNION,Credit Union,Tulare,CA,156588,142040,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_613875
INTERFAITH FEDERAL CREDIT UNION,Credit Union,Montclair,CA,135352,119195,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_827476
UNITED LOCAL CREDIT UNION,Credit Union,Fresno,CA,121096,96434,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_445991
UPWARD CREDIT UNION,Credit Union,Burlingame,CA,93701,80547,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_614395
SONOMA FEDERAL CREDIT UNION,Credit Union,Santa Rosa,CA,80093,69518,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_420886
POLAM FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,73433,65887,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_858984
TECHNICOLOR FEDERAL CREDIT UNION,Credit Union,Burbank,CA,84894,57935,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_587284
HUNTINGTON BEACH CREDIT UNION,Credit Union,Huntington Beac,CA,55824,48390,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_296791
CENTRAL VALLEY FIREFIGHTERS CREDIT UNION,Credit Union,Fresno,CA,49933,42924,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_743594
FOX FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,38149,34502,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_975881
EL MONTE COMMUNITY CREDIT UNION,Credit Union,El Monte,CA,32962,29015,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_248996
SUN PACIFIC FEDERAL CREDIT UNION,Credit Union,Richmond,CA,29840,24506,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_735777
CIBC Bank USA,Out-of-state bank with CA branches (SOD),,,,16966,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1842065
ATCHISON VILLAGE CREDIT UNION,Credit Union,Richmond,CA,13271,11658,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_688190
DENOCOS FEDERAL CREDIT UNION,Credit Union,Crescent City,CA,6295,5322,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_84185
COLUMBUS CLUB FEDERAL CREDIT UNION,Credit Union,San Fernando,CA,3041,2131,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_150688
HAVEN FEDERAL CREDIT UNION,Credit Union,San Francisco,CA,0,0,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_6125268
