Name,Type,City,State,Assets,Deposits,PRIOR_card,PRIOR_card_link,PRIOR_underwriter,PRIOR_apply,PRIOR_bureau,PRIOR_nodoc,PRIOR_site
"Bank of America, National Association",Out-of-state bank with CA branches (SOD),,,,422113884,"✅ Business Advantage Cash/Travel: 0% 7-9 cyc, $0 AF; + secured",https://business.bankofamerica.com/en/credit-cards/business-advantage-unlimited-cash-rewards,Self (Bank of America NA),Online,Experian-dominant in CA (DoC CA: 15 EX / 6 TU / 4 EQ) ‖ v7 2026-06-11: bureau verdict [CONSUMER-PROX,PG yes (SSN); NO tax returns for cards (large/recon requests may ask 2yr returns) | fit:3,https://business.bankofamerica.com/en/credit-cards
SCHOOLSFIRST FEDERAL CREDIT UNION,Credit Union,Santa Ana,CA,36737429,31586618,❌ No business card (educator-only CU; consumer cards + no business banking) ‖ v7 2026-06-11: CORRECTION: NO business car,—,None,No,N/M,N/M | fit:0,https://www.schoolsfirstfcu.org/products/credit-cards-personal-loans/credit-cards/
Western Alliance Bank,Out-of-state bank with CA branches (SOD),,,,17032527,"✅ Business Plus Visa (revolving, 1pt, $0 AF); NO 0% intro; ~Prime+10% (~17.5%)",https://www.westernalliancebancorporation.com/small-business/credit-cards/business-plus-credit-card,Self (Western Alliance Bank),In-person,"N/M public — mentor DP (2026-06, unverified): TransUnion ‖ v7 2026-06-11: bureau verdict [MENTOR-ONL",PG conditional ('if Bank requires'); financials at banker discretion | fit:2,https://www.westernalliancebancorporation.com/small-business/business-credit-cards
"CITIZENS BUSINESS BANK, NATIONAL ASSOCIATION",Bank,Ontario,CA,15511016,12002449,✅ 0% 12 cycles → 17.24-26.24%; $0 AF,https://creditcardlearnmore.com/11t3/index?ecdma-lc=26893&ecid=OTHE_25940#business,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://www.cbbank.com
LOGIX FEDERAL CREDIT UNION,Credit Union,Valencia,CA,9716130,8192822,✅ Smart Business Cashback Mastercard: 5.99% intro 6mo (NOT 0%); 17.99%; $0 AF; 1.5% cash back,https://www.logixbanking.com/business/credit-card,Self (Logix FCU),In-person,N/M (personal pull; a consumer lawsuit alleged EQ + TU),PG (inferred); creditworthiness-based | fit:0,https://www.logixbanking.com/business/credit-card
MISSION FEDERAL CREDIT UNION,Credit Union,San Diego,CA,7232363,6318213,✅ 0% intro (length N/M); $0 AF; 1% cash back,https://www.mycommunitycc.com/sgpXj3gLGuZQ,"TCM Bank, N.A.",Online,Experian,PG likely; SBA-eligible ONLY (excl. >$7M rev or 50+ emp); no tax returns on app | fit:3,https://www.missionbank.bank
HERITAGE BANK OF COMMERCE,Bank,San Jose,CA,5670019,4821348,⚠️ MERGED into Citizens Business Bank (Apr 2026); no standalone card; successor card = Elan (see Citizens Business Bank ,—,"(merged -> Citizens Business Bank, Elan)",No,N/M,N/M | fit:0,https://heritagebankofcommerce.bank/
SAFE CREDIT UNION,Credit Union,Folsom,CA,4451527,3990691,✅ SAFE Visa Business: 0% 12mo BT promo; 13.40-19.40%; $0 AF; ScoreCard points,https://www.safecu.org/business/grow-your-business/visa-business,Self (SAFE Credit Union),In-person,N/M business (TransUnion for personal/membership),PG YES (explicit guaranty) + financials on request — NOT fully no-doc | fit:2,https://www.safecu.org/business/grow-your-business/visa-business
"CALIFORNIA BANK OF COMMERCE, NATIONAL ASSOCIATION",Bank,San Diego,CA,4046537,3402697,✅ Elan biz cards; intro/APR N/M; no public apply page,https://www.californiabankofcommerce.com/business-financing-solutions/,Elan,In-person,TransUnion (forum 'Elan = HP TU-9'),PG yes; no tax returns (<$25K) | fit:2,https://www.californiabankofcommerce.com
"Flagstar Bank, National Association",Out-of-state bank with CA branches (SOD),,,,3126219,✅ Business Edition Visa (+Absolute Rewards / Secured); issued by FNBO; terms N/M,https://card.fnbo.com/mpp/fi/flagstar/business/web-visa,FNBO (First National Bank of Omaha — agent program),Online,"Experian (FNBO standard; WalletHub/myFICO, acc. 2026-06-10)",PG typical (FNBO; N/M specifics) | fit:3,https://www.flagstar.com
ORANGE COUNTY'S FEDERAL CREDIT UNION,Credit Union,Santa Ana,CA,3074686,2584116,✅ Business Mastercard; SELF-issued (payments to own Santa Ana PO Box; no external creditor); terms N/M,https://www.orangecountyscu.org/products/business-services/,Self (Orange County's CU),In-person,"Experian (consumer loans, own FAQ; biz N/M)",N/M | fit:2,https://www.orangecountyscu.org
OPEN BANK,Bank,Los Angeles,CA,2699382,2328101,✅ Elan biz cards; APR/AF N/M (1.5% Real Rewards),https://www.creditcardlearnmore.com/11t3/index,Elan,Online,TransUnion (varies EX/EQ),PG yes; no tax returns (<$25K) | fit:3,https://myopenbank.com
"EL DORADO SAVINGS BANK, F.S.B.",Savings Institution (Federal Savings Bank),Placerville,CA,2472114,2126939,❌ No card (thrift; debit only),—,None,No,N/M,N/M | fit:0,https://www.eldoradosavingsbank.com
PLUMAS BANK,Bank,Quincy,CA,2199524,1778694,"✅ no 0%; 19.49% (Prime+10.99%, cap 21%); $0/$49 AF",https://www.plumasbank.com/business-banking/business-card-services,TIB,In-person,Personal HP on guarantor; bureau not named,PG YES + Personal Tax Return required (most entities) — NOT no-doc | fit:0,https://www.plumasbank.com
BENEFICIAL STATE BANK,Bank,Oakland,CA,1973803,1655342,✅ card exists; terms NOT yet published; CA/OR/WA only,https://www.beneficialstatebank.com/business-banking/credit-cards,Self (Fiserv SpendTrack platform),In-person,N/M,N/M (consumer cards underwrite soft/self-reported) | fit:2,https://www.beneficialstatebank.com
CHRISTIAN COMMUNITY CREDIT UNION,Credit Union,San Dimas,CA,1443573,1236810,✅ 'Gives to Missions' Visa Business Rewards: 1.5% cash back; $300/$3K bonus; SELF-issued. Merged w/ AdelFi 2025-12-01 (~,https://www.adelfibanking.com/ministry/ministry-credit-cards/,Self (CCCU charter continues),Assisted,N/M,N/M | fit:2,https://www.adelfibanking.com
