Name,Type,City,State,Assets,Deposits,ibanknet_URL
"JPMorgan Chase Bank, National Association",Out-of-state bank with CA branches (SOD),,,,287153152,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_852218
"Mizrahi Tefahot Bank, Ltd.",Out-of-state bank with CA branches (SOD),,,,3309713,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_887461
SAN FRANCISCO FIRE CREDIT UNION,Credit Union,San Francisco,CA,1604300,1454032,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_770497
NOBLE FEDERAL CREDIT UNION,Credit Union,Fresno,CA,1494031,1139517,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_575290
BLUPEAK CREDIT UNION,Credit Union,San Diego,CA,1128147,1031025,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_243197
ALTAONE FEDERAL CREDIT UNION,Credit Union,Ridgecrest,CA,974029,880101,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1000173
THE FIRST FINANCIAL FEDERAL CREDIT UNION,Credit Union,Pasadena,CA,746456,725371,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_144089
USC CREDIT UNION,Credit Union,Los Angeles,CA,719189,631164,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_240084
COMMONWEALTH CENTRAL CREDIT UNION,Credit Union,San Jose,CA,626858,533064,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_37994
POPA FEDERAL CREDIT UNION,Credit Union,Cerritos,CA,399420,355946,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_139281
SEA WEST COAST GUARD FEDERAL CREDIT UNION,Credit Union,Oakland,CA,381797,304015,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_579887
EDWARDS FEDERAL CREDIT UNION,Credit Union,Edwards,CA,278913,255937,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_656984
CLEARPATH FEDERAL CREDIT UNION,Credit Union,Burbank,CA,224391,200222,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_80383
"SoFi Bank, National Association",Out-of-state bank with CA branches (SOD),,,,167233,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_962966
SOUTH BAY CREDIT UNION,Credit Union,Redondo Beach,CA,164333,146169,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_810599
EAST COUNTY SCHOOLS FEDERAL CREDIT UNION,Credit Union,El Cajon,CA,147542,132714,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_639688
KAIPERM FEDERAL CREDIT UNION,Credit Union,Walnut Creek,CA,108993,99122,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_250083
GLENDALE FEDERAL CREDIT UNION,Credit Union,Glendale,CA,102411,89561,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_565581
VISION ONE CREDIT UNION,Credit Union,Sacramento,CA,91602,76400,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_353890
NIKKEI CREDIT UNION,Credit Union,Gardena,CA,80586,68574,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_281797
OLIVE VIEW EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Sylmar,CA,75226,60690,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_628075
Bank of Guam,Out-of-state bank with CA branches (SOD),,,,53145,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_711472
U.P.S. EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Ontario,CA,48924,44846,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_251482
ORGANIZED LABOR CREDIT UNION,Credit Union,Modesto,CA,40538,36457,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_848891
UTILITY DISTRICT CREDIT UNION,Credit Union,Oakland,CA,34118,30902,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_367598
SLO CREDIT UNION,Credit Union,San Luis Obispo,CA,29740,25918,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_688994
EMPLOYEES CHOICE FEDERAL CREDIT UNION,Credit Union,El Cajon,CA,22980,20191,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_849384
INLAND FEDERAL CREDIT UNION,Credit Union,La Mesa,CA,14796,13587,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_513087
REDLANDS CITY EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Redlands,CA,10291,7606,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1017386
CHULA VISTA CITY EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Chula Vista,CA,3161,2755,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_411080
LOS ANGELES LEE FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,645,493,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_631486
