Rank,Institution,Type,City,Deposits,Biz card?,Underwriter,0% intro,Terms,No-doc (quick),Apply,Card link,Why on list
1,"Bank of America, National Association",Out-of-state bank with CA branches (SOD),Charlotte,422113884,YES,SELF,⭐ YES (intro APR on purchases offered; cycle count rendered dynamically on page — prior: 0% 7-9 cycles),"3 Business Advantage cards (Unlimited Cash 1.5%, Customized Cash 3%, Travel); $0 AF on all; $500/50K bonuses",⭐ Not visible live (prior: PG yes via SSN; no tax returns for cards),Online,https://business.bankofamerica.com/en/credit-cards/business-advantage-unlimited-cash-rewards,SELF-underwritten + 0% intro + low/no-doc language
4,U.S. Bank National Association,Out-of-state bank with CA branches (SOD),Cincinnati,114337732,YES,SELF,⭐ 0% intro APR purchases+BT 12 billing cycles (Triple Cash & Business Shield),Triple Cash: $0 AF; 3% gas/EV(<=$200)/office supply/cell/restaurants; $100 software credit; BT fee 5% min $5,—,Online,https://www.usbank.com/business-banking/business-credit-cards/business-triple-cash-back-credit-card.html,SELF-underwritten + 0% intro
8,First-Citizens Bank & Trust Company,Out-of-state bank with CA branches (SOD),Raleigh,49197599,YES,SELF,"⭐ YES — 0% 12mo (Low-Interest Business Visa); 0% 9mo (Rewards & Cash Rewards Business Visa), purchases + BT","Low-Interest: 0% 12mo then 13.49-22.49% var, $0 AF; Rewards/Cash Rewards: 0% 9mo then 15.49-24.49% var; BT fee 3% ($5 min); new-account only (no FCB card in prior 15mo). Site 403s to bots — terms verified via live Google results/snippets of firstcitizens.com product pages",—,In-person,https://www.firstcitizens.com/small-business/credit-financing/credit-cards,SELF-underwritten + 0% intro
14,CATHAY BANK,Bank,El Monte,20697975,YES,Elan,"⭐ YES — intro APR 6 mo (Mastercard Business Platinum, purchases+BT; rate not shown)","MC Business Platinum (low rate, 6-mo intro) + Business Platinum Rewards (1% cash back unlimited); APR/AF on Elan storefront",—,Online,https://www.cathaybank.com/business/credit-cards,0% intro
20,"Zions Bancorporation, N.A.",Out-of-state bank with CA branches (SOD),Salt Lake City,15529542,YES,SELF,⭐ YES,AmaZing Rate: 0% intro 6mo then 13.75% variable; $0 AF; AmaZing Cash 3/2/1% + $500 bonus; AmaZing Rewards 3x/2x/1x + 50K pts; commercial card also offered,—,Online,https://www.calbanktrust.com/business/business-credit-cards/,SELF-underwritten + 0% intro
27,REDWOOD CREDIT UNION,Credit Union,Santa Rosa,8560969,YES,SELF,NO,Business Visa Platinum Preferred (shared line) + Select (per-cardholder limits); $0 AF; 1x pts; no 0% intro; lowest-rate positioning; NorCal-county HQ required,NO — requires current business income statement + business federal tax returns (full-doc),Online,https://www.redwoodcu.org/business/cards/business-visa-platinum/,SELF-underwritten
31,LOGIX FEDERAL CREDIT UNION,Credit Union,Valencia,8192822,YES,SELF,NO (5.99% intro APR 6 months — not 0%),Smart Business Cashback Mastercard: 5.99% intro 6mo -> 17.99%; $0 AF; 1.5 pts/$1 redeemable as cashback,Not visible live (prior: PG inferred),Appointment (schedule with business banking team; no direct online app),https://www.logixbanking.com/business/credit-card,SELF-underwritten
35,Umpqua Bank,Out-of-state bank with CA branches (SOD),Roseburg,7124985,YES,Elan,⭐ YES,Business Platinum: 0% intro 18 billing cycles (purch+BT) then ~16.99-25.99%; Business Real Rewards 0% 6 cycles; $0 AF; umpquabank.com card page 403-blocked to bots but Elan offer pages live,—,Online,https://branchoffer.com/11t2/business-platinum2103,0% intro
41,KINECTA FEDERAL CREDIT UNION,Credit Union,Manhattan Beach,5720278,YES,SELF,NO (live page: no intro APR offered),"MyPro Business MC: 13.49-18.00% purchases/BT (3% min BT fee); $0 AF; 3% office/fuel/EV, 2% travel/dining, 1% other; up to 20% relationship bonus",—,In-person/phone (book appointment or 800.854.9846; no online app),https://www.kinecta.org/credit-card/mypro,SELF-underwritten
47,Enterprise Bank & Trust,Out-of-state bank with CA branches (SOD),Clayton,4811960,YES,SELF,No 0% intro (none mentioned live),Business Rewards $0 AF 1.25x; Business Preferred Rewards $50 AF 1.5x; Commercial Card Solution $0 AF volume credits; all 19.25% (Prime+12.5%),Not visible,Contact banker (phone/email/form; no online app),https://www.enterprisebank.com/business/credit-cards,SELF-underwritten
53,FIVE STAR BANK,Bank,Roseville,4480237,YES,SELF,not stated (no public terms),Commercial Corporate Card Program (Mastercard) only — virtual cards/expense mgmt; no APR/fee/intro disclosed; relationship-based,N/M,In-person,https://www.fivestarbank.com/credit-cards,SELF-underwritten
59,BANK OF STOCKTON,Bank,Stockton,3754998,YES,Elan,⭐ UNCONFIRMED live (Elan offer page JS-rendered blank; Elan twin banks show 0% 6-12 cyc),Site: 'variety of Visa credit cards for businesses... cash back to no annual fee'; specific terms not on bank page,—,Online,https://www.mycardapply.com/synindex/?ecdma-lc=37171&ecid=OTHE_25940&offertype=0#business,0% intro
