Name,Type,City,Deposits,Assets,Website,Biz_card(YES/NO/UNCLEAR),Card_link,Intro_0pct,Terms_note,Underwriter(SELF/name/UNKNOWN),UW_evidence,Apply(Online/Call/Branch/UNKNOWN),Apply_link,Bureau_quick,NoDoc_quick,Twin_check,Source_links,Screen_date
SAN DIEGO COUNTY CREDIT UNION,Credit Union,San Diego,7569256,9382858,https://www.sdccu.com,YES,https://www.sdccu.com/business/business-credit-card/,NO,"Low-rate Visa Business; limits $5k-$20k; $25 AF waived w/ $10k+/yr spend",SELF,"Card page and APPLY ONLINE on sdccu.com; no third-party servicer mentioned",Online,https://www.sdccu.com/business/business-credit-card/,,,OK - unique name,"https://www.sdccu.com/business/business-credit-card/",2026-06-11
FIRST ENTERTAINMENT CREDIT UNION,Credit Union,Hollywood,1713776,2122096,https://www.firstent.org,YES,https://www.firstent.org/business/credit-cards/preferred-cash-visa/,"YES - 0% intro APR 12 mo (purchases, per search snippet)","Preferred Cash Business Visa: 1.5% cash back, no AF, $100 bonus after $1k/90d; also Visa Platinum Business",SELF,"Own-domain card pages; no third-party issuer named",Call,"mailto:businessbanking@firstent.org (or 888-800-3328); no online app",,,OK - unique name,"https://www.firstent.org/business/credit-cards/preferred-cash-visa/; https://www.firstent.org/business/credit-cards/",2026-06-11
OPERATING ENGINEERS LOCAL UNION #3 FEDERAL CREDIT UNION,Credit Union,Livermore,1402578,1650775,https://www.oefederal.org,NO,,,"Personal Visa STEEL card line only; no business card found in site search",,,,,,,"OK - operates as OE Federal CU (oefederal.org/oefcu.org)","https://oefederal.org/accounts/cards/visa-credit-cards/",2026-06-11
PACIFIC SERVICE CREDIT UNION,Credit Union,Concord,1121940,1345715,https://www.pacificservice.org,NO,,,"No business banking in site nav; only personal Visa Platinum Rewards",,,,,,,OK - unique name,https://www.pacificservice.org/,2026-06-11
SAFE 1 CREDIT UNION,Credit Union,Bakersfield,958618,1120422,https://www.safe1.org,NO,,,"Only personal MasterCard Platinum/Platinum Rewards; business banking login exists but no business card listed",,,,,,,OK - unique name,"https://www.safe1.org/loans-credit-cards/credit-card/",2026-06-11
COMMUNITY FIRST CREDIT UNION,Credit Union,Santa Rosa,817032,922089,https://www.comfirstcu.org,NO,,,"Personal Visa Traditional/Signature/Share Secured only; business checking offered but no business card",,,,,,,"TWIN RISK: multiple Community First CUs (WI/FL); CA Santa Rosa = comfirstcu.org - verified via DFPI listing","https://www.comfirstcu.org/loans/credit-cards/credit-card",2026-06-11
SACRAMENTO CREDIT UNION,Credit Union,Sacramento,719015,851939,https://www.sactocu.org,YES,https://www.sactocu.org/Business/Business-Loans/Business-Credit-Cards,NO,"Visa Platinum Business: no annual fee, limits to $25k, 25-day grace, low variable rate",SELF,"Own-domain card page + own Visa Card Services page; no third party named",Online,"https://www.sactocu.org/Business/Business-Loans/Business-Credit-Cards (apply online or call 916-444-6070)",,,OK - unique name,"https://www.sactocu.org/Business/Business-Loans/Business-Credit-Cards; https://www.sactocu.org/business-accounts/",2026-06-11
Cornerstone Community Bank,Out-of-state bank with CA branches (SOD),Red Bluff,580953,,https://www.bankcornerstone.com,YES,https://www.bankcornerstone.com/loans/credit-cards/business-credit-cards.html,UNCLEAR,"Elan menu: low rate/cash back/flex rewards business cards; free employee cards; 24/7 cardmember service","Elan Financial Services","Site states card links go to partner Elan Financial Services; bank does not service cardholders",Online,https://www.bankcornerstone.com/loans/credit-cards/business-credit-cards.html,,,"TWIN RISK: many Cornerstone banks (MA/NE/TN/VA); this = bankcornerstone.com Red Bluff/Redding/Anderson CA","https://www.bankcornerstone.com/loans/credit-cards/business-credit-cards.html",2026-06-11
GAIN FEDERAL CREDIT UNION,Credit Union,Burbank,409985,439329,https://gainfcu.com,NO,,,"Business checking/savings/certificates only; personal Mastercards (Classic/Platinum Rewards/Equity Gold) - no business card",,,,,,,OK - unique name (fka Burbank City Employees FCU),"https://gainfcu.com/accounts/business.html",2026-06-11
PASADENA FEDERAL CREDIT UNION,Credit Union,Pasadena,329246,381308,https://www.pfcu.org,NO,,,"Personal Mastercard Platinum Preferred/Rewards/Secured only; no business card on cards page",,,,,,,"OK - distinct from Pasadena Service FCU","https://www.pfcu.org/loans/credit-cards",2026-06-11
