Name,Type,City,State,Assets,Deposits,ibanknet_URL
"Citibank, National Association",Out-of-state bank with CA branches (SOD),,,,72004000,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_476810
"CREDIT UNION OF SOUTHERN CA, A",Credit Union,Anaheim,CA,3942854,3110791,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_47489
KEYPOINT CREDIT UNION,Credit Union,San Jose,CA,1701238,1403675,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_550091
SESLOC CREDIT UNION,Credit Union,San Luis Obispo,CA,1252419,1124366,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_37079
UNIVERSITY CREDIT UNION,Credit Union,Los Angeles,CA,1187569,1010441,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_321899
Israel Discount Bank of New York,Out-of-state bank with CA branches (SOD),,,,840384,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_320119
CERTIFIED FEDERAL CREDIT UNION,Credit Union,El Monte,CA,919973,720823,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_345886
MYPOINT CREDIT UNION,Credit Union,San Diego,CA,701059,585195,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_568274
FIRST U.S. COMMUNITY CREDIT UNION,Credit Union,Sacramento,CA,554171,490051,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1016370
YOLO FEDERAL CREDIT UNION,Credit Union,Woodland,CA,410982,344210,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_286680
UME FEDERAL CREDIT UNION,Credit Union,Burbank,CA,334142,303870,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_439477
HERITAGE COMMUNITY CREDIT UNION,Credit Union,Rancho Cordova,CA,282600,252119,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_297387
F3 CREDIT UNION,Credit Union,San Jose,CA,239383,199702,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_817691
Beal Bank USA,Out-of-state bank with CA branches (SOD),,,,163167,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3284397
LONG BEACH FIREMEN S CREDIT UNION,Credit Union,Long Beach,CA,204273,145634,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_423793
E-CENTRAL CREDIT UNION,Credit Union,Pasadena,CA,174544,132287,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_840493
FIRST CALIFORNIA FEDERAL CREDIT UNION,Credit Union,Fresno,CA,109872,98476,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_314798
UNION YES FEDERAL CREDIT UNION,Credit Union,Orange,CA,96921,88178,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_757199
VALLEY OAK CREDIT UNION,Credit Union,Three Rivers,CA,82304,76337,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_265993
CALCOM FEDERAL CREDIT UNION,Credit Union,Long Beach,CA,82609,68281,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_962685
DELTA SCHOOLS FEDERAL CREDIT UNION,Credit Union,Antioch,CA,65943,58718,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_477899
INLAND VALLEY FEDERAL CREDIT UNION,Credit Union,Fontana,CA,54344,49524,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_630171
UNITED CATHOLICS FEDERAL CREDIT UNION,Credit Union,Covina,CA,50035,44783,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_83683
DIABLO VALLEY FEDERAL CREDIT UNION,Credit Union,Concord,CA,40080,35751,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_136888
CAPSTONE FEDERAL CREDIT UNION,Credit Union,Aliso Viejo,CA,34573,30564,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_133980
MATTEL FEDERAL CREDIT UNION,Credit Union,El Segundo,CA,29131,25569,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_495987
ONTARIO PUBLIC EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Ontario,CA,23435,19710,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_682684
BEVERLY HILLS CITY EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Beverly Hills,CA,14904,13149,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_987987
L. A. MISSION FEDERAL CREDIT UNION,Credit Union,San Fernando,CA,8606,7522,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_183686
SUNKIST EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Valencia,CA,3959,2685,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_68176
DELANCEY STREET FEDERAL CREDIT UNION,Credit Union,San Francisco,CA,498,353,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_390886
